step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-0.07645719,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.59571840,0.00000000,0.00000000,1.41509717,5.20281414,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-0.06745914,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.59010571,1.36503276,-0.55767898,0.25342294,4.97785393,0.19787943,0.04434426,0.83665883,0.02325085,1.14667027,0.06250000,1,1,0.32000000,4.87646846,-0.05847274,-2.00748536,-1.35423556,0.79434426
4,-2.13162832,2.58521222,1.32920963,-0.59724246,0.20007497,4.71416884,0.16365934,0.03560831,1.55001685,0.13065345,2.74523096,0.06250000,1,1,0.40000000,4.40154896,-0.04950965,-2.04075252,-1.36225583,0.78560831
5,-1.76810634,2.58103633,1.13212224,-0.82606880,0.10195025,4.46155335,0.07200304,0.02042172,4.12038369,0.42539196,4.99154579,0.05769477,0,1,0.48000000,3.71798559,-4.05405715,-2.27200059,-1.39940495,0.72957828
6,-1.45426197,2.35282090,1.12731225,-0.83900156,0.11491208,4.08321003,0.08492403,0.02379032,5.12465666,0.98144653,7.67713381,0.05325899,0,1,0.56000000,3.32493962,-3.78887068,-2.28491822,-1.40099302,0.72620968
7,-1.17883370,2.04334677,1.13740337,-0.82369096,0.09668865,3.66901021,0.07707453,0.02057887,7.30630136,1.83003852,10.69701356,0.04916424,0,1,0.64000000,2.99606215,-3.39292313,-2.27704240,-1.39777465,0.72942113
8,-0.93125567,1.76241018,1.11630400,-0.84333766,0.12536721,3.29461009,0.10110892,0.02600896,8.03643988,3.07422538,14.27429426,0.04538431,0,1,0.72000000,2.66337896,-3.07377875,-2.30107662,-1.39744479,0.72399104
9,-0.65693338,1.44737284,1.15052354,-0.80063140,0.07079166,2.87691657,0.05644014,0.01472459,11.76137142,4.74970655,18.35901599,0.04189500,0,1,0.80000000,2.36520090,-2.63946800,-2.25625745,-1.39546249,0.73527541
10,-0.51382861,1.28726752,1.14543169,-0.80382872,0.07665006,2.66226735,0.05895154,0.01537532,12.63807319,7.06413048,23.05423298,0.03867396,0,1,0.88000000,2.17753718,-2.44670758,-2.25878408,-1.39555973,0.73462468
11,-0.33512171,1.08690466,1.17191975,-0.77689783,0.03888437,2.39391257,0.03076587,0.00798130,15.68236860,9.49840274,27.49064507,0.03570057,0,1,0.96000000,1.98528365,-2.17000221,-2.23030711,-1.39470685,0.74201870
12,-0.17168493,0.90666355,1.18238985,-0.76756682,0.02487389,2.15082628,0.02102032,0.00545410,16.83680561,12.26497070,31.99755027,0.03295578,0,1,1.04000000,1.79237807,-1.93905190,-2.22039703,-1.39491914,0.74454590
13,-0.02366495,0.74599660,1.17853379,-0.76800533,0.02801768,1.93270839,0.02299622,0.00586714,17.87209123,15.32377555,36.56444357,0.03042202,0,1,1.12000000,1.60103372,-1.74377516,-2.22230990,-1.39442376,0.74413286
14,0.10901001,0.60180794,1.18286704,-0.76300251,0.02150822,1.73713669,0.01928748,0.00469303,18.49845312,18.62607389,41.18290153,0.02808306,0,1,1.20000000,1.43818895,-1.56217682,-2.21831353,-1.39394843,0.74530697
15,0.22797340,0.47247544,1.18427769,-0.76231061,0.01996853,1.56182006,0.01693249,0.00418784,18.76657033,22.12364291,45.80646069,0.02592393,0,1,1.28000000,1.28855403,-1.40398680,-2.21604775,-1.39459823,0.74581216
16,0.33464896,0.35635993,1.18928736,-0.75395983,0.01142107,1.40458703,0.01059997,0.00217421,21.13695838,25.77184587,50.46911158,0.02393081,0,1,1.36000000,1.15825005,-1.25284901,-2.20902726,-1.39444412,0.74782579
17,0.43043626,0.25250470,1.19194024,-0.75287442,0.00855698,1.26382120,0.00831776,0.00178570,22.22837384,29.53056024,55.05989556,0.02209092,0,1,1.44000000,1.03845315,-1.12550001,-2.20698632,-1.39548596,0.74821430
18,0.51638764,0.15940833,1.19565279,-0.75215008,0.00484986,1.13769476,0.00660501,0.00146897,24.46502630,33.36336876,59.59306979,0.02039249,0,1,1.52000000,0.93200192,-1.01182938,-2.20541946,-1.39622434,0.74853103
19,0.61214266,0.05549729,1.19520816,-0.75369156,0.00604891,0.99719714,0.00637758,0.00182306,26.75185224,37.23870511,64.04781370,0.01882464,0,1,1.60000000,0.80906946,-0.88821190,-2.20582241,-1.39739747,0.74817694
20,0.66117856,0.00171011,1.19422613,-0.75388837,0.00696111,0.92487655,0.00622604,0.00189623,27.64854811,41.23587274,68.54087871,0.01737733,0,1,1.68000000,0.74182676,-0.82341938,-2.20581286,-1.39776969,0.74810377
21,0.72213852,-0.06571846,1.19869042,-0.75055704,0.00142313,0.83462136,0.00136062,0.00068701,29.42208426,45.10674475,72.81747401,0.01604130,0,1,1.76000000,0.66708167,-0.73829242,-2.20103138,-1.39911257,0.74931299
22,0.77729894,-0.12682490,1.19901512,-0.74999658,0.00098489,0.75300955,0.00117320,0.00014018,31.25513499,48.94792861,76.98085417,0.01480798,0,1,1.84000000,0.59459793,-0.66432598,-2.19884380,-1.39980096,0.74985982
23,0.82660638,-0.18174618,1.20232877,-0.74702085,0.00378133,0.67995235,0.00535291,0.00101457,32.49257450,52.74619043,81.04382919,0.01366949,0,1,1.92000000,0.53299180,-0.59511310,-2.19468707,-1.40065297,0.75101457
24,0.87072428,-0.23101633,1.20382094,-0.74452134,0.00667947,0.61462716,0.00849322,0.00191465,34.08432149,56.48754031,84.99521439,0.01261853,0,1,2.00000000,0.47569194,-0.53346431,-2.19158815,-1.40117286,0.75191465
25,0.91015483,-0.27517305,1.20740742,-0.74239612,0.01061550,0.55630105,0.01039448,0.00255966,38.42180851,60.16050508,88.80998662,0.01164837,0,1,2.08000000,0.42679141,-0.47859452,-2.18966903,-1.40114721,0.75255966
26,0.94547175,-0.31477749,1.20797802,-0.74065952,0.01228387,0.50418575,0.01134070,0.00284002,39.98355218,63.75573157,92.50700596,0.01075280,0,1,2.16000000,0.37946582,-0.42983079,-2.18873431,-1.40130221,0.75284002
27,0.97696483,-0.35033428,1.20532951,-0.74291652,0.00886450,0.45768698,0.00915438,0.00221639,41.81175304,67.26625295,96.04206813,0.00992609,0,1,2.24000000,0.33311941,-0.39087756,-2.19088217,-1.40081723,0.75221639
28,1.00472670,-0.38253936,1.20456713,-0.74291692,0.00842785,0.41612376,0.00763992,0.00190495,43.16346918,70.68657171,99.47437466,0.00916294,0,1,2.32000000,0.29376278,-0.35338429,-2.19236013,-1.39997324,0.75190495
29,1.02917228,-0.41170994,1.20499958,-0.74471600,0.00727436,0.37897529,0.00681093,0.00154691,45.94875817,74.01265478,102.74379728,0.00845846,0,1,2.40000000,0.26006358,-0.32182225,-2.19319281,-1.40022553,0.75154691
30,1.05078615,-0.43821321,1.20615676,-0.74660145,0.00703248,0.34565268,0.00803643,0.00167419,52.35786870,77.24179897,105.89285660,0.00780814,0,1,2.48000000,0.23087104,-0.29368237,-2.19207235,-1.40131781,0.75167419
31,1.06995645,-0.46238316,1.20662153,-0.74509686,0.00823926,0.31564976,0.00911732,0.00204964,53.52533845,80.37290546,108.98939908,0.00720782,0,1,2.56000000,0.20401335,-0.26437922,-2.19098954,-1.40139180,0.75204964
32,1.08692210,-0.48423677,1.20575470,-0.74605064,0.00697954,0.28881950,0.00789249,0.00170352,53.95580863,83.40610268,111.93464801,0.00665366,0,1,2.64000000,0.17843112,-0.24089824,-2.19217638,-1.40104041,0.75170352
33,1.10181057,-0.50407217,1.20390241,-0.74517325,0.00620696,0.26480495,0.00649241,0.00149536,58.62311830,86.34159134,114.81270129,0.00614210,0,1,2.72000000,0.15438087,-0.21772269,-2.19350780,-1.39994740,0.75149536
34,1.11473824,-0.52204620,1.20316541,-0.74438508,0.00644571,0.24337728,0.00524296,0.00126812,62.79440043,89.18009899,117.57762580,0.00566987,0,1,2.80000000,0.13423781,-0.19695792,-2.19488298,-1.39885773,0.75126812
35,1.12596070,-0.53830119,1.20326384,-0.74329021,0.00746149,0.22427261,0.00612897,0.00152759,65.17775893,91.92253452,120.24501642,0.00523395,0,1,2.88000000,0.11735322,-0.17794779,-2.19391586,-1.39926005,0.75152759
36,1.13810125,-0.55655221,1.20438948,-0.74384548,0.00755947,0.20310958,0.00662081,0.00159391,67.10628958,94.57029885,122.77909951,0.00483155,0,1,2.96000000,0.10080300,-0.15857277,-2.19338327,-1.39976760,0.75159391
37,1.14421563,-0.56614408,1.20456252,-0.74386871,0.00764260,0.19213250,0.00601545,0.00138747,68.92149268,97.13856329,125.23778855,0.00446008,0,1,3.04000000,0.09053812,-0.14899143,-2.19399435,-1.39965679,0.75138747
38,1.15170504,-0.57829334,1.20461263,-0.74407614,0.00750789,0.17836922,0.00555890,0.00127186,69.47150229,99.60236150,127.59937085,0.00411717,0,1,3.12000000,0.07866631,-0.13659495,-2.19447373,-1.39939858,0.75127186
39,1.15828327,-0.58951846,1.20463576,-0.74340442,0.00806176,0.16581499,0.00523102,0.00122256,70.98825542,101.97867705,129.89174469,0.00380063,0,1,3.20000000,0.06803971,-0.12427728,-2.19485962,-1.39903042,0.75122256
40,1.16398148,-0.59975626,1.20194135,-0.74511868,0.00525320,0.15450085,0.00306818,0.00038481,75.95031708,104.27075068,132.05481564,0.00350842,0,1,3.28000000,0.05538577,-0.11602500,-2.19782090,-1.39784009,0.75038481
41,1.16871604,-0.60923632,1.20067324,-0.74649470,0.00356936,0.14419813,0.00269504,0.00008566,78.49286411,106.48134425,134.14836138,0.00323868,0,1,3.36000000,0.04577098,-0.10828674,-2.19872448,-1.39762592,0.75008566
42,1.17260847,-0.61808497,1.20074442,-0.74665444,0.00342738,0.13472887,0.00260139,0.00011335,79.96288489,108.61318143,136.17966399,0.00298968,0,1,3.44000000,0.03893865,-0.09985088,-2.19931857,-1.39748945,0.74988665
43,1.17588754,-0.62627551,1.20015660,-0.74742660,0.00257816,0.12605222,0.00273316,0.00029768,80.83960417,110.66916152,138.13414022,0.00275982,0,1,3.52000000,0.03220990,-0.09293807,-2.19993336,-1.39726765,0.74970232
44,1.17862582,-0.63387646,1.20058461,-0.74781996,0.00225706,0.11807427,0.00249242,0.00011176,83.23325824,112.65225244,140.03278898,0.00254764,0,1,3.60000000,0.02750108,-0.08627119,-2.19921607,-1.39763407,0.74988824
45,1.18093892,-0.64093816,1.20133257,-0.74805208,0.00236011,0.11071499,0.00236643,0.00001288,84.26373246,114.56538604,141.86194731,0.00235177,0,1,3.68000000,0.02383208,-0.08004592,-2.19870292,-1.39802071,0.74998712
46,1.18293354,-0.64749124,1.20048482,-0.74841651,0.00165605,0.10391973,0.00265195,0.00027471,85.88508458,116.41151371,143.62463216,0.00217095,0,1,3.76000000,0.01876989,-0.07457322,-2.19980966,-1.39735489,0.74972529
47,1.18455663,-0.65358844,1.19991368,-0.74909104,0.00091305,0.09764060,0.00302245,0.00052172,86.73016645,118.19355681,145.31693327,0.00200404,0,1,3.84000000,0.01461880,-0.06999898,-2.20063205,-1.39704437,0.74947828
48,1.18582576,-0.65929814,1.19953987,-0.74911751,0.00099524,0.09180270,0.00303201,0.00047801,87.48468598,119.91417342,146.97420275,0.00184996,0,1,3.92000000,0.01125657,-0.06508756,-2.20054317,-1.39701704,0.74952199
49,1.18680698,-0.66462302,1.19988985,-0.74831085,0.00169274,0.08639030,0.00271908,0.00007142,91.34450134,121.57594067,148.60431603,0.00170773,0,1,4.00000000,0.00922977,-0.05961025,-2.19930229,-1.39737196,0.74992858
50,1.18759400,-0.66952330,1.19989507,-0.74801685,0.00198592,0.08142732,0.00268437,0.00003713,91.88262536,123.18132879,150.15957583,0.00157644,0,1,4.08000000,0.00713789,-0.05522664,-2.19892046,-1.39754227,0.75003713
51,1.18821524,-0.67404663,1.19908184,-0.74838217,0.00186021,0.07686218,0.00268867,0.00010922,92.82895138,124.73268247,151.64435449,0.00145523,0,1,4.16000000,0.00437273,-0.05205276,-2.19938742,-1.39738205,0.74989078
52,1.18863142,-0.67828703,1.19874172,-0.74831134,0.00210591,0.07260850,0.00290446,0.00023706,93.49472981,126.23228238,153.08651782,0.00134335,0,1,4.24000000,0.00252573,-0.04865880,-2.19989126,-1.39709757,0.74976294
53,1.18887781,-0.68226119,1.19874954,-0.74823576,0.00216245,0.06864583,0.00306019,0.00033543,94.29476589,127.68232653,154.48040354,0.00124007,0,1,4.32000000,0.00139897,-0.04554024,-2.20023151,-1.39694858,0.74966457
54,1.18901677,-0.68597925,1.19929233,-0.74812839,0.00200093,0.06495604,0.00247151,0.00015610,97.00640964,129.08492497,155.83899383,0.00114473,0,1,4.40000000,0.00113677,-0.04265055,-2.19935088,-1.39761526,0.74984390
55,1.18911400,-0.68946065,1.19915436,-0.74739278,0.00274094,0.06151031,0.00270843,0.00008667,99.00862633,130.44213967,157.16869821,0.00105672,0,1,4.48000000,0.00019630,-0.03924904,-2.19934001,-1.39737322,0.74991333
56,1.18915228,-0.69268221,1.19916820,-0.74717253,0.00294728,0.05833526,0.00264437,0.00003602,99.47302833,131.75601023,158.44352618,0.00097547,0,1,4.56000000,-0.00040766,-0.03673446,-2.19913127,-1.39750240,0.74996398
57,1.18913416,-0.69568131,1.19886182,-0.74684160,0.00335722,0.05539482,0.00297145,0.00003698,102.93212517,133.02836196,159.68756139,0.00090047,0,1,4.64000000,-0.00124946,-0.03430951,-2.19918722,-1.39714187,0.75003698
58,1.18905440,-0.69848427,1.19786629,-0.74746364,0.00331449,0.05266570,0.00350045,0.00043356,109.35224180,134.26095264,160.84214058,0.00083124,0,1,4.72000000,-0.00277019,-0.03321808,-2.20070973,-1.39657225,0.74956644
59,1.18886929,-0.70116792,1.19836390,-0.74757273,0.00292720,0.05008458,0.00296804,0.00031664,110.68068578,135.45545025,161.99640203,0.00076733,0,1,4.80000000,-0.00230316,-0.03160810,-2.20012486,-1.39703459,0.74968336
60,1.18867382,-0.70373520,1.19902756,-0.74767237,0.00252260,0.04763102,0.00272169,0.00017834,112.32870626,136.61346736,163.11847490,0.00070834,0,1,4.88000000,-0.00155927,-0.03007967,-2.19961139,-1.39730620,0.74982166
