step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
26,0.64897145,-0.43818058,1.20024955,-0.75296649,0.00297696,0.63313807,0.00424763,0.00051767,17.22289579,75.78148203,106.03653555,0.01339882,0,2.16000000,0.73649511,-0.46594518,-2.20320019,-1.40279305,0.74948233
27,0.69336079,-0.46653605,1.20311919,-0.74967576,0.00313600,0.58054725,0.00302383,0.00044992,18.24046961,80.77227655,110.83585895,0.01249298,0,2.24000000,0.71393258,-0.38497314,-2.19992419,-1.40302288,0.75044992
28,0.75101689,-0.49927723,1.20292212,-0.75098574,0.00308390,0.51424482,0.00356314,0.00001345,19.34378233,85.61809000,115.36357906,0.01164837,0,2.32000000,0.65015288,-0.29842135,-2.20086805,-1.40345578,0.75001345
29,0.80455984,-0.52522818,1.20217588,-0.75154511,0.00266868,0.45485744,0.00343860,0.00000533,19.97361425,90.39705830,119.78869810,0.01086087,0,2.40000000,0.56940261,-0.22312059,-2.20108268,-1.40326371,0.75000533
30,0.85205005,-0.54488504,1.20388597,-0.75047199,0.00391453,0.40390755,0.00316240,0.00035849,20.77722903,95.09355854,124.06958868,0.01012661,0,2.48000000,0.48207060,-0.16581866,-2.20013438,-1.40315954,0.75035849
31,0.89271167,-0.55952578,1.20334754,-0.75192681,0.00386246,0.36153360,0.00357414,0.00022068,22.04749433,99.68648333,128.16202866,0.00944199,0,2.56000000,0.39084403,-0.13540838,-2.20215138,-1.40285413,0.74977932
32,0.92616863,-0.57108830,1.20247353,-0.75188523,0.00311006,0.32709787,0.00389805,0.00038243,22.54285791,104.15560300,132.13139495,0.00880365,0,2.64000000,0.30718780,-0.12635080,-2.20295232,-1.40254531,0.74961757
33,0.95275140,-0.58141375,1.20248591,-0.75219211,0.00331437,0.29925440,0.00383517,0.00032775,23.49040743,108.48447874,135.93260243,0.00820847,0,2.72000000,0.24043045,-0.13639358,-2.20306012,-1.40231175,0.74967225
34,0.97358801,-0.59208420,1.20169041,-0.75447808,0.00478651,0.27604309,0.00519144,0.00090564,24.64804819,112.66238236,139.53062923,0.00765353,0,2.80000000,0.19341821,-0.16016403,-2.20463609,-1.40233616,0.74909436
35,0.99018977,-0.60432684,1.20146361,-0.75449947,0.00473153,0.25542319,0.00534931,0.00098456,24.84715769,116.68595666,143.02482776,0.00713610,0,2.88000000,0.16912779,-0.18375718,-2.20478257,-1.40239628,0.74901544
36,1.00430296,-0.61846118,1.20237246,-0.75487280,0.00541966,0.23579609,0.00558028,0.00104690,26.08215764,120.55911736,146.36821723,0.00665366,0,2.96000000,0.16578989,-0.20222938,-2.20509714,-1.40227126,0.74895310
37,1.01764626,-0.63419619,1.20238795,-0.75482272,0.00538153,0.21601715,0.00636842,0.00131912,27.52760196,124.29129331,149.59824495,0.00620383,0,3.04000000,0.17536538,-0.20845313,-2.20600594,-1.40211791,0.74868088
38,1.03144568,-0.65072307,1.20362654,-0.75440402,0.00570501,0.19561817,0.00587692,0.00117788,28.12946959,127.89561181,152.72380975,0.00578441,0,3.12000000,0.19309371,-0.19926051,-2.20540163,-1.40231529,0.74882212
39,1.04646769,-0.66688454,1.20434665,-0.75375240,0.00574228,0.17458622,0.00511213,0.00087995,28.57169192,131.38600898,155.77220170,0.00539335,0,3.20000000,0.20913112,-0.17499586,-2.20450799,-1.40241078,0.74912005
40,1.06281329,-0.68146656,1.20376597,-0.75285614,0.00472653,0.15335262,0.00479508,0.00068411,29.89504755,134.77507316,158.75427623,0.00502873,0,3.28000000,0.21596860,-0.13892264,-2.20427484,-1.40217220,0.74931589
41,1.08424605,-0.69622458,1.20213529,-0.75341105,0.00402427,0.12763531,0.00561413,0.00101292,31.70969867,138.07208159,161.61648554,0.00468875,0,3.36000000,0.20454809,-0.09526097,-2.20520955,-1.40209261,0.74898708
42,1.09656461,-0.70211488,1.20276307,-0.75181755,0.00330728,0.11398186,0.00430016,0.00050520,33.46197293,141.29995547,164.45493868,0.00437176,0,3.44000000,0.19347336,-0.05630929,-2.20356081,-1.40241082,0.74949480
43,1.11230828,-0.70755447,1.20284923,-0.75208105,0.00352830,0.09742413,0.00447975,0.00060649,33.70884912,144.42107501,167.15243476,0.00407621,0,3.52000000,0.16466496,-0.02279801,-2.20373051,-1.40248022,0.74939351
44,1.12617288,-0.71018258,1.20401381,-0.75177764,0.00438984,0.08388010,0.00404290,0.00040504,34.60180761,147.45214317,169.78151861,0.00380063,0,3.60000000,0.12924717,0.00024829,-2.20310013,-1.40259505,0.74959496
45,1.13736268,-0.71071583,1.20334692,-0.75238535,0.00410996,0.07393700,0.00401473,0.00038816,35.90312883,150.38923436,172.32663830,0.00354368,0,3.68000000,0.08927299,0.00866374,-2.20307193,-1.40258482,0.74961184
46,1.14546390,-0.71022470,1.20260304,-0.75227344,0.00345606,0.06750008,0.00403703,0.00038804,36.46190461,153.22770164,174.80348059,0.00330411,0,3.76000000,0.05270113,0.00478988,-2.20315751,-1.40251551,0.74961196
47,1.15055771,-0.70974853,1.20120018,-0.75318187,0.00340069,0.06375516,0.00470706,0.00068101,37.53723030,155.96392879,177.17144446,0.00308073,0,3.84000000,0.02377138,-0.01074656,-2.20409814,-1.40231552,0.74931899
48,1.15315374,-0.71023539,1.20109097,-0.75399015,0.00413661,0.06144752,0.00522867,0.00092977,38.31542048,158.59651948,179.44436784,0.00287245,0,3.92000000,0.00797736,-0.03207249,-2.20469334,-1.40230468,0.74907023
49,1.15417098,-0.71228936,1.20144790,-0.75287943,0.00322297,0.05934974,0.00443247,0.00058259,39.53822205,161.12708524,181.70341897,0.00267826,0,4.00000000,0.00507001,-0.05175200,-2.20368702,-1.40246021,0.74941741
50,1.15474776,-0.71699225,1.20155322,-0.75298047,0.00336091,0.05601140,0.00426255,0.00048524,40.30559577,163.56046677,183.85712022,0.00249719,0,4.08000000,0.01252586,-0.06753089,-2.20350605,-1.40242425,0.74951476
51,1.15546949,-0.72098099,1.20089049,-0.75303413,0.00316211,0.05315138,0.00466811,0.00062554,40.85700456,165.90581287,185.94361211,0.00232837,0,4.16000000,0.02678568,-0.07796052,-2.20411875,-1.40219709,0.74937446
52,1.15727011,-0.72696752,1.20095580,-0.75245427,0.00263382,0.04854214,0.00423430,0.00043262,41.41414214,168.16752864,187.98864569,0.00217095,0,4.24000000,0.04491019,-0.07656794,-2.20356991,-1.40227707,0.74956738
53,1.16042793,-0.73312638,1.20119029,-0.75242638,0.00270261,0.04301939,0.00390516,0.00026822,42.49499827,170.35634564,189.96297997,0.00202418,0,4.32000000,0.06169622,-0.06629723,-2.20315050,-1.40230751,0.74973178
54,1.16496076,-0.73867665,1.20186314,-0.75188281,0.00264882,0.03682345,0.00335432,0.00002105,43.57389454,172.47999521,191.89776011,0.00188734,0,4.40000000,0.07351382,-0.04798594,-2.20213106,-1.40259038,0.75002105
55,1.17055825,-0.74295500,1.20110222,-0.75160472,0.00194680,0.03027291,0.00357899,0.00008944,44.86219254,174.54446892,193.77391177,0.00175974,0,4.48000000,0.07556677,-0.02604623,-2.20273684,-1.40230628,0.74991056
56,1.17655432,-0.74556525,1.20139072,-0.75157838,0.00210366,0.02386141,0.00374925,0.00016749,45.48494975,176.55357657,195.58458293,0.00164077,0,4.56000000,0.07021853,-0.00449339,-2.20302081,-1.40222071,0.74983251
57,1.18230016,-0.74644199,1.20128650,-0.75149671,0.00197363,0.01805391,0.00393577,0.00023033,45.79228088,178.50871563,197.35379647,0.00152985,0,4.64000000,0.05677997,0.01327581,-2.20334402,-1.40207551,0.74976967
58,1.18830068,-0.74554087,1.20128315,-0.75102471,0.00164210,0.01252030,0.00382579,0.00015465,46.15098765,180.40960231,199.09035479,0.00142642,0,4.72000000,0.03701448,0.02451499,-2.20325264,-1.40201421,0.74984535
59,1.19060061,-0.74411493,1.20003096,-0.75150525,0.00150557,0.01108975,0.00405119,0.00024137,48.24203462,182.25702297,200.75917271,0.00132998,0,4.80000000,0.01689379,0.02717154,-2.20356952,-1.40191589,0.74975863
60,1.19243501,-0.74200496,1.20003858,-0.75116088,0.00116152,0.01100680,0.00412761,0.00024154,48.66288786,184.04480671,202.38803586,0.00124007,0,4.88000000,-0.00116327,0.02269131,-2.20371174,-1.40180559,0.74975846
61,1.19277532,-0.74008213,1.19983729,-0.75074773,0.00076523,0.01227029,0.00391398,0.00014702,49.24977601,185.77395324,203.97667528,0.00115623,0,4.96000000,-0.01461552,0.01216304,-2.20345034,-1.40184781,0.74985298
62,1.19192893,-0.73885641,1.19974262,-0.75097128,0.00100480,0.01375942,0.00368046,0.00011656,51.24069427,187.44442280,205.49527479,0.00107806,0,5.04000000,-0.02118375,-0.00253205,-2.20298238,-1.40215666,0.74988344
63,1.19039187,-0.73870629,1.20066082,-0.75118137,0.00135363,0.01482781,0.00354503,0.00007251,52.75509523,189.05752591,206.95759849,0.00100518,0,5.12000000,-0.01929112,-0.01736677,-2.20269387,-1.40230441,0.74992749
64,1.18880316,-0.73973960,1.20185588,-0.75121319,0.00221723,0.01518700,0.00326646,0.00008288,55.37799381,190.61603212,208.38479032,0.00093722,0,5.20000000,-0.01081763,-0.02913014,-2.20213388,-1.40247312,0.75008288
65,1.18773438,-0.74178769,1.20135009,-0.75116414,0.00178269,0.01476101,0.00336051,0.00003925,55.84836003,192.12398721,209.77577527,0.00087386,0,5.28000000,-0.00023362,-0.03573060,-2.20244125,-1.40230940,0.75003925
66,1.18746168,-0.74448773,1.20139308,-0.75103335,0.00173449,0.01369652,0.00341182,0.00004484,56.77811464,193.58611522,211.12742217,0.00081478,0,5.36000000,0.01258955,-0.03609906,-2.20267535,-1.40211732,0.75004484
67,1.18816109,-0.74736681,1.20196330,-0.75102032,0.00221261,0.01212821,0.00312943,0.00018309,57.92026112,195.00693103,212.44446051,0.00075970,0,5.44000000,0.02483611,-0.03067582,-2.20199993,-1.40240700,0.75018309
68,1.18985406,-0.74995103,1.20133052,-0.75079386,0.00154935,0.01014606,0.00323963,0.00011736,59.18378193,196.39041743,213.72886223,0.00070834,0,5.52000000,0.03200793,-0.02039644,-2.20228298,-1.40229853,0.75011736
69,1.19224257,-0.75182945,1.20147174,-0.74989516,0.00147547,0.00797024,0.00298500,0.00028914,60.74095218,197.73976315,215.00795326,0.00066045,0,5.60000000,0.03507275,-0.00687440,-2.20189364,-1.40230746,0.75028914
70,1.19497483,-0.75270394,1.20131377,-0.75008177,0.00131631,0.00570645,0.00327112,0.00011617,61.92000627,199.05689215,216.20295061,0.00061580,0,5.68000000,0.03233439,0.00523045,-2.20244932,-1.40216819,0.75011617
71,1.19762730,-0.75257602,1.20117661,-0.74989448,0.00118133,0.00350222,0.00315319,0.00020599,62.94393828,200.34258893,217.39580376,0.00057417,0,5.76000000,0.02488406,0.01541544,-2.20237678,-1.40207208,0.75020599
72,1.19979684,-0.75158722,1.20177875,-0.75004458,0.00177931,0.00160017,0.00307447,0.00023019,63.84991868,201.59681242,218.53623684,0.00053535,0,5.84000000,0.01518811,0.02111926,-2.20209127,-1.40225365,0.75023019
73,1.20124459,-0.75003457,1.20133135,-0.74997249,0.00133164,0.00124507,0.00327306,0.00012523,64.74269048,202.81895789,219.64774257,0.00049916,0,5.92000000,0.00314925,0.02220784,-2.20250165,-1.40211061,0.75012523
74,1.20178546,-0.74828407,1.20178585,-0.74956620,0.00183778,0.00247635,0.00299726,0.00029363,65.82418695,204.00837602,220.75035777,0.00046541,0,6.00000000,-0.00664798,0.01898484,-2.20208168,-1.40215642,0.75029363
75,1.20148876,-0.74668793,1.20171132,-0.74909251,0.00193705,0.00363128,0.00275118,0.00046870,67.57448815,205.16455162,221.82807935,0.00043395,0,6.08000000,-0.01413352,0.01216674,-2.20172903,-1.40213996,0.75046870
76,1.20053773,-0.74555096,1.20133567,-0.74909923,0.00161103,0.00448142,0.00295576,0.00037688,68.94381530,206.28752540,222.84006996,0.00040461,0,6.16000000,-0.01788546,0.00278132,-2.20230521,-1.40185001,0.75037688
77,1.19919694,-0.74510320,1.20077275,-0.74924469,0.00108057,0.00496221,0.00285588,0.00044465,71.28635759,207.37800083,223.83519033,0.00037726,0,6.24000000,-0.01744908,-0.00676348,-2.20220357,-1.40181668,0.75044465
78,1.19779054,-0.74541521,1.20043956,-0.74902313,0.00107121,0.00508941,0.00281773,0.00047525,71.85728799,208.43735595,224.80511751,0.00035175,0,6.32000000,-0.01288354,-0.01401201,-2.20218200,-1.40178282,0.75047525
