step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-0.07645719,2.00000000,0.00000000,0.00000000
2,-2.70740000,2.59418925,0.00000000,0.00000000,1.41509717,5.14309017,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.49871802,-0.06745914,2.00000000,0.00000000,0.00000000
3,-2.49607179,2.59010571,1.09470161,-0.88814302,0.17369872,4.98169177,0.13001214,0.03372303,2.50953402,0.04282426,1.54701545,0.06250000,1,1,0.32000000,4.55828036,-0.05847274,-2.32741471,-1.42585820,0.71627697
4,-2.15683886,2.58521222,1.23632388,-0.71436149,0.05088740,4.73201941,0.04080937,0.00705775,3.96661529,0.12812212,2.71599202,0.06250000,1,1,0.40000000,4.32033871,-0.04950965,-2.15919529,-1.39938359,0.75705775
5,-1.80550116,2.58103633,1.32891226,-0.58671194,0.20804173,4.48651761,0.16430186,0.03920191,6.04316858,0.37845171,4.73651982,0.05769477,0,1,0.48000000,3.99900740,-3.76682892,-2.03748956,-1.37580374,0.78920191
6,-1.47786862,2.36890568,1.23315424,-0.70434529,0.05642301,4.11078496,0.04768824,0.01082601,7.93473171,0.87100282,7.25684531,0.05325899,0,1,0.56000000,3.48027798,-3.64658489,-2.15279437,-1.39323268,0.76082601
7,-1.18699687,2.07429303,1.23045312,-0.71532121,0.04615205,3.69788929,0.03760307,0.00842751,9.69635353,1.67226691,10.25213201,0.04916424,0,1,0.64000000,3.11751767,-3.30001494,-2.16285470,-1.39415039,0.75842751
8,-0.92888921,1.80197416,1.20046610,-0.74936391,0.00078859,3.32336296,0.00414656,0.00019988,10.52983780,2.88156835,13.84801317,0.04538431,0,1,0.72000000,2.76153373,-3.00848702,-2.19663735,-1.39757378,0.74980012
9,-0.64419223,1.49412879,1.20566438,-0.74480681,0.00768469,2.90467881,0.01059176,0.00131276,10.73148078,4.52818962,17.90618909,0.04189500,0,1,0.80000000,2.41608053,-2.62858564,-2.18956240,-1.39819949,0.75131276
10,-0.44952397,1.28232233,1.21034973,-0.74365811,0.01213822,2.61749181,0.01354644,0.00177097,11.47073820,6.81908332,22.60359353,0.03867396,0,1,0.88000000,2.17827326,-2.36856863,-2.18646062,-1.39956271,0.75177097
11,-0.31787635,1.13916815,1.21498574,-0.73731780,0.01963187,2.42340770,0.02014856,0.00360913,11.88304887,9.44602118,27.30727111,0.03570057,0,1,0.96000000,2.01626840,-2.18522235,-2.17989338,-1.39870077,0.75360913
12,-0.15268676,0.95995005,1.19732072,-0.75173815,0.00319370,2.18029600,0.00354630,0.00066314,14.43868878,12.16364993,31.70036876,0.03295578,0,1,1.04000000,1.78749730,-1.98400128,-2.19723168,-1.39778355,0.74933686
13,-0.00419647,0.79640064,1.19166926,-0.75762919,0.01129628,1.95996022,0.00509855,0.00251751,14.74278473,15.17531385,36.17357222,0.03042202,0,1,1.12000000,1.59343411,-1.79180864,-2.20445197,-1.39751502,0.74748249
14,0.12793578,0.64844332,1.18979231,-0.75830440,0.01315903,1.76209121,0.00518809,0.00260132,15.35835683,18.43841300,40.71875385,0.02808306,0,1,1.20000000,1.42378835,-1.61250155,-2.20464101,-1.39768111,0.74739868
15,0.24591034,0.51513983,1.18794952,-0.76164249,0.01675594,1.58457119,0.00694843,0.00325939,15.78215003,21.90473869,45.27306102,0.02592393,0,1,1.28000000,1.27143589,-1.45438233,-2.20669536,-1.39814180,0.74674061
16,0.35128167,0.39499438,1.19501381,-0.75572821,0.00759437,1.42524908,0.00148045,0.00148977,17.17502585,25.52935786,49.85829596,0.02393081,0,1,1.36000000,1.14516253,-1.30133240,-2.20015838,-1.39852804,0.74851023
17,0.44592524,0.28721459,1.19662431,-0.75235744,0.00411738,1.28235832,0.00430857,0.00031524,18.70537505,29.27163251,54.42914594,0.02209092,0,1,1.44000000,1.02548726,-1.16653151,-2.19584287,-1.39886772,0.74968476
18,0.53083643,0.19065685,1.19607791,-0.75614539,0.00729031,1.15438953,0.00296224,0.00081300,20.88814401,33.09539878,58.90398583,0.02039249,0,1,1.52000000,0.91517352,-1.05412199,-2.19706892,-1.39957148,0.74918700
19,0.60669784,0.10362926,1.19336473,-0.75930668,0.01142984,1.03956259,0.00077844,0.00165286,21.51908231,36.96808732,63.32349963,0.01882464,0,1,1.60000000,0.81339113,-0.95270841,-2.20010734,-1.39922899,0.74834714
20,0.67421190,0.02497866,1.19090097,-0.76043193,0.01384260,0.93650683,0.00296260,0.00236738,22.57676358,40.86185912,67.67015830,0.01737733,0,1,1.68000000,0.72219655,-0.85919391,-2.20272016,-1.39882623,0.74763262
21,0.73417630,-0.04600120,1.19402641,-0.75846393,0.01035963,0.84415996,0.00069276,0.00154838,23.64061321,44.75261999,71.92354805,0.01604130,0,1,1.76000000,0.64703952,-0.77144141,-2.19930732,-1.39998949,0.74845162
22,0.78774323,-0.10982257,1.19297484,-0.75973949,0.01200877,0.76143469,0.00070979,0.00186310,24.17598281,48.61935006,76.06065719,0.01480798,0,1,1.84000000,0.57481645,-0.69642027,-2.20057431,-1.39958289,0.74813690
23,0.83546190,-0.16733670,1.19060448,-0.76173928,0.01503618,0.68730237,0.00390287,0.00280496,25.71452987,52.44472859,80.06962422,0.01366949,0,1,1.92000000,0.50829603,-0.63006659,-2.20380504,-1.39913160,0.74719504
24,0.87772207,-0.21933451,1.19083433,-0.75969724,0.01334338,0.62086143,0.00321116,0.00251251,27.24420685,56.21442984,83.99930992,0.01261853,0,1,2.00000000,0.45171066,-0.56569357,-2.20303353,-1.39894681,0.74748749
25,0.91521697,-0.26613495,1.18983593,-0.75901403,0.01358533,0.56145058,0.00296125,0.00235708,28.56979367,59.91659453,87.80030166,0.01164837,0,1,2.08000000,0.39963104,-0.50938173,-2.20268950,-1.39876082,0.74764292
26,0.94843737,-0.30823698,1.18612176,-0.76149232,0.01801885,0.50836830,0.00693476,0.00337707,30.49652021,63.54144075,91.44348542,0.01075280,0,1,2.16000000,0.34967957,-0.46267875,-2.20650048,-1.39758450,0.74662293
27,0.97761057,-0.34637215,1.18890271,-0.75908019,0.01433874,0.46083891,0.00462775,0.00267656,32.33224643,67.08121703,94.99946357,0.00992609,0,1,2.24000000,0.31263237,-0.41502851,-2.20417408,-1.39800171,0.74732344
28,1.00351029,-0.38071803,1.18841266,-0.76054726,0.01566879,0.41830297,0.00671786,0.00334273,35.01578037,70.53012396,98.38380046,0.00916294,0,1,2.32000000,0.27583710,-0.37672628,-2.20630651,-1.39768538,0.74665727
29,1.02646034,-0.41177539,1.19059571,-0.75876580,0.01285613,0.38014721,0.00600945,0.00308152,38.90257205,73.88426537,101.68879523,0.00845846,0,1,2.40000000,0.24603326,-0.33860347,-2.20555250,-1.39770148,0.74691848
30,1.04685830,-0.43977862,1.19331229,-0.75761010,0.01013110,0.34596198,0.00232770,0.00226317,42.14115379,77.14128306,104.87056572,0.00780814,0,1,2.48000000,0.22017109,-0.30501426,-2.20220661,-1.39925900,0.74773683
31,1.06509268,-0.46498590,1.19588250,-0.75724179,0.00833051,0.31533002,0.00087084,0.00194132,45.15037110,80.29983915,107.92624080,0.00720782,0,1,2.56000000,0.19696304,-0.27582984,-2.20086726,-1.39992117,0.74805868
32,1.08140671,-0.48775271,1.19538047,-0.75682436,0.00824087,0.28781593,0.00045208,0.00179857,46.08339024,83.35964330,110.89305857,0.00665366,0,1,2.64000000,0.17260051,-0.24960758,-2.20045006,-1.39995726,0.74820143
33,1.09579945,-0.50835065,1.19545575,-0.75705688,0.00839344,0.26315805,0.00062557,0.00187094,46.20737204,86.32132281,113.73512238,0.00614210,0,1,2.72000000,0.15145821,-0.22684887,-2.20062549,-1.39998970,0.74812906
34,1.10842353,-0.52704477,1.19555709,-0.75677830,0.00810462,0.24102964,0.00056541,0.00181298,46.38036709,89.18563777,116.48728100,0.00566987,0,1,2.80000000,0.13268548,-0.20583151,-2.20055003,-1.39986903,0.74818702
35,1.11948891,-0.54401571,1.19504634,-0.75664383,0.00828729,0.22115959,0.00101032,0.00176919,48.65493184,91.95386169,119.14632604,0.00523395,0,1,2.88000000,0.11525837,-0.18711471,-2.20077769,-1.39935506,0.74823081
36,1.12912783,-0.55943409,1.19334944,-0.75780407,0.01025346,0.20331805,0.00375616,0.00239657,51.95943391,94.62771271,121.68002506,0.00483155,0,1,2.96000000,0.09832306,-0.17186482,-2.20326007,-1.39813433,0.74760343
37,1.13740012,-0.57354927,1.19336588,-0.75736032,0.00990888,0.18722608,0.00378393,0.00237797,52.31952533,97.20915820,124.14688445,0.00446008,0,1,3.04000000,0.08528076,-0.15629514,-2.20325450,-1.39806962,0.74762203
38,1.14453560,-0.58642655,1.19128311,-0.75894252,0.01248811,0.17272108,0.00675983,0.00311790,56.08228965,99.70044958,126.48824884,0.00411717,0,1,3.12000000,0.07127422,-0.14467476,-2.20599070,-1.39686841,0.74688210
39,1.15057369,-0.59827942,1.19129464,-0.75777425,0.01167143,0.15956846,0.00661080,0.00292789,58.09349797,102.10407370,128.80158713,0.00380063,0,1,3.20000000,0.06128185,-0.13100792,-2.20567290,-1.39660576,0.74707211
40,1.15571606,-0.60908806,1.19276211,-0.75679867,0.00993020,0.14770661,0.00578648,0.00274551,61.48773302,104.42268642,131.01727098,0.00350842,0,1,3.28000000,0.05428919,-0.11884283,-2.20494403,-1.39699335,0.74725449
41,1.16022702,-0.61888745,1.19349300,-0.75643542,0.00915181,0.13701237,0.00508401,0.00252047,62.17006670,106.65894275,133.15559402,0.00323868,0,1,3.36000000,0.04734152,-0.10863424,-2.20423597,-1.39718864,0.74747953
42,1.16418108,-0.62782320,1.19296945,-0.75589812,0.00917695,0.12731915,0.00565895,0.00255329,63.51795492,108.81575052,135.22373300,0.00298968,0,1,3.44000000,0.03972155,-0.09925743,-2.20462084,-1.39673327,0.74744671
43,1.16754169,-0.63598883,1.19339438,-0.75547616,0.00858036,0.11854150,0.00484129,0.00236560,64.15411208,110.89612249,137.21659007,0.00275982,0,1,3.52000000,0.03411026,-0.09094155,-2.20388935,-1.39711710,0.74763440
44,1.17040518,-0.64346374,1.19301435,-0.75519568,0.00870600,0.11057047,0.00429049,0.00216524,66.47566098,112.90286253,139.14716773,0.00254764,0,1,3.60000000,0.02828153,-0.08361731,-2.20329295,-1.39724959,0.74783476
45,1.17280759,-0.65032891,1.19390452,-0.75490825,0.00782596,0.10331386,0.00368101,0.00205848,67.65954769,114.83881577,140.99881385,0.00235177,0,1,3.68000000,0.02467603,-0.07700443,-2.20279232,-1.39760151,0.74794152
46,1.17486820,-0.65664797,1.19465659,-0.75408123,0.00672372,0.09667579,0.00265014,0.00171980,69.00557088,116.70676699,142.81018059,0.00217095,0,1,3.76000000,0.02145442,-0.07038282,-2.20169848,-1.39796569,0.74828020
47,1.17666188,-0.66243751,1.19498817,-0.75414118,0.00650137,0.09061930,0.00297039,0.00174506,70.44614523,118.50956878,144.53556456,0.00200404,0,1,3.84000000,0.01818190,-0.06544026,-2.20191525,-1.39772954,0.74825494
48,1.17819497,-0.66779135,1.19528513,-0.75448652,0.00650837,0.08505128,0.00321345,0.00185063,71.48145005,120.24997205,146.19222412,0.00184996,0,1,3.92000000,0.01530783,-0.06133852,-2.20221713,-1.39767393,0.74814937
49,1.17948857,-0.67279688,1.19572030,-0.75403201,0.00587988,0.07988142,0.00207978,0.00152800,73.61621380,121.93066949,147.82572085,0.00170773,0,1,4.00000000,0.01300840,-0.05666701,-2.20106050,-1.39821092,0.74847200
50,1.18058443,-0.67744235,1.19679429,-0.75332752,0.00462050,0.07511043,0.00136698,0.00122384,75.06647161,123.55431913,149.40816879,0.00157644,0,1,4.08000000,0.01182843,-0.05209658,-2.20002599,-1.39863327,0.74877616
51,1.18155902,-0.68171977,1.19695850,-0.75371103,0.00479817,0.07072665,0.00179523,0.00139145,77.14389954,125.12340289,150.90448653,0.00145523,0,1,4.16000000,0.00981218,-0.04923963,-2.20064362,-1.39832411,0.74860855
52,1.18239239,-0.68572751,1.19782841,-0.75334274,0.00398619,0.06664069,0.00141411,0.00117306,78.31901051,126.64030745,152.38019566,0.00134335,0,1,4.24000000,0.00891659,-0.04576791,-2.19992896,-1.39858767,0.74882694
53,1.18312721,-0.68947226,1.19681652,-0.75353756,0.00475908,0.06283548,0.00178534,0.00133506,79.77983324,128.10737166,153.78950114,0.00124007,0,1,4.32000000,0.00598006,-0.04324911,-2.20052123,-1.39829244,0.74866494
54,1.18367609,-0.69299264,1.19862029,-0.75329115,0.00356865,0.05929847,0.00125154,0.00118971,86.22729768,129.52683013,155.16133712,0.00114473,0,1,4.40000000,0.00673914,-0.04042979,-2.19986588,-1.39875567,0.74881029
55,1.18419700,-0.69629469,1.19839810,-0.75313963,0.00352468,0.05598210,0.00149399,0.00131837,87.56013721,130.90067940,156.48567008,0.00105672,0,1,4.48000000,0.00518918,-0.03794441,-2.20032202,-1.39854112,0.74868163
56,1.18464934,-0.69938989,1.19848754,-0.75255188,0.00296642,0.05288692,0.00126759,0.00104867,90.46460953,132.23101484,157.79775037,0.00097547,0,1,4.56000000,0.00417907,-0.03514046,-2.19945069,-1.39885762,0.74895133
57,1.18500791,-0.70226842,1.19922514,-0.75242262,0.00254352,0.05003065,0.00136814,0.00094336,92.02603926,133.51973751,159.05057506,0.00090047,0,1,4.64000000,0.00413803,-0.03310221,-2.19913806,-1.39893752,0.74905664
58,1.18533993,-0.70496552,1.19895146,-0.75274975,0.00294289,0.04736055,0.00122697,0.00104718,92.55866255,134.76855842,160.24781659,0.00083124,0,1,4.72000000,0.00298938,-0.03178393,-2.19940285,-1.39892815,0.74895282
59,1.18560665,-0.70753987,1.19969334,-0.75257077,0.00258900,0.04483337,0.00135182,0.00094671,94.41491458,135.97922135,161.42702452,0.00076733,0,1,4.80000000,0.00320733,-0.02995941,-2.19912868,-1.39896645,0.74905329
60,1.18585801,-0.70998041,1.19998960,-0.75243548,0.00243550,0.04244483,0.00142774,0.00092757,95.22165997,137.15338977,162.56759583,0.00070834,0,1,4.88000000,0.00297417,-0.02830114,-2.19915191,-1.39885144,0.74907243
