step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-3.12000000,2.00000000,0.00000000,0.00000000
2,-2.70740000,2.36288000,0.00000000,0.00000000,1.41509717,4.99577788,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.49871802,-2.82645794,2.00000000,0.00000000,0.00000000
3,-2.49607179,2.19211836,1.09746009,-0.85979701,0.15023254,4.72408796,0.12561164,0.03106673,2.34134352,0.07092033,2.33087644,0.06250000,1,1,0.32000000,4.56159054,-3.64431398,-2.32504753,-1.41189119,0.71893327
4,-2.15665349,1.92020178,1.20085120,-0.75050930,0.00099193,4.28918409,0.00705130,0.00246334,3.19519470,0.21199029,4.18934719,0.05769477,0,1,0.40000000,4.26780352,-3.17896238,-2.20702778,-1.40057554,0.74753666
5,-1.80817832,1.65471635,1.15464872,-0.81206696,0.07687033,3.85120728,0.07396294,0.01894860,5.51440949,0.62443974,7.47275275,0.05325899,0,1,0.48000000,3.78378294,-2.92702252,-2.27376984,-1.40534111,0.73105140
6,-1.49385919,1.41450799,1.16466278,-0.79726913,0.05901770,3.45571587,0.06033044,0.01452729,8.39968915,1.41515405,11.58472043,0.04916424,0,1,0.56000000,3.40837414,-2.61443630,-2.26032391,-1.39911235,0.73547271
7,-1.21217945,1.19785102,1.23400195,-0.70699454,0.05482338,3.10044082,0.03258005,0.00967890,16.33535433,2.59705658,16.13539841,0.04538431,0,1,0.64000000,3.14350321,-2.24015589,-2.16791906,-1.39431903,0.75967890
8,-0.95434229,1.00965582,1.21385786,-0.74171655,0.01614484,2.78165046,0.00635364,0.00154049,18.52753452,4.15409055,20.52274083,0.04189500,0,1,0.72000000,2.80005810,-2.05061100,-2.19392507,-1.40186119,0.75154049
9,-0.72209496,0.84105786,1.20305464,-0.75807555,0.00863397,2.49517818,0.01012283,0.00293133,19.24763345,6.05609811,24.95826218,0.03867396,0,1,0.80000000,2.49873695,-1.86310260,-2.20961831,-1.40315590,0.74706867
10,-0.51496429,0.68750945,1.21101828,-0.74704180,0.01140848,2.23775243,0.00260403,0.00047415,20.08289509,8.26663234,29.55075848,0.03570057,0,1,0.88000000,2.25029408,-1.66130849,-2.20144212,-1.40216824,0.74952585
11,-0.32897814,0.54976172,1.21814726,-0.73845091,0.02151057,2.00677718,0.00808022,0.00234903,21.24208202,10.74541859,34.27250610,0.03295578,0,1,0.96000000,2.02645062,-1.48190425,-2.19204590,-1.40142208,0.75234903
12,-0.16148985,0.42690367,1.22563521,-0.72761862,0.03403072,1.79965465,0.01645850,0.00503385,22.07966065,13.45070375,39.13877937,0.03042202,0,1,1.04000000,1.82547108,-1.31814791,-2.18354660,-1.40041000,0.75503385
13,-0.01062865,0.31752169,1.23774236,-0.71431630,0.05194047,1.61407072,0.03249942,0.00956904,25.94785037,16.34181442,44.11357015,0.02808306,0,1,1.12000000,1.65022968,-1.16804187,-2.16754303,-1.40166039,0.75956904
14,0.12559552,0.22047579,1.23420977,-0.71511108,0.04886252,1.44781499,0.02903899,0.00871554,27.28431487,19.38014881,49.14352188,0.02592393,0,1,1.20000000,1.47403327,-1.05007268,-2.17097040,-1.40073819,0.75871554
15,0.24774689,0.13363872,1.24015485,-0.71012201,0.05659210,1.29907789,0.03505941,0.01065017,30.08625339,22.53046275,54.18871456,0.02393081,0,1,1.28000000,1.32635018,-0.93780530,-2.16494523,-1.40057044,0.76065017
16,0.35739930,0.05591988,1.22988253,-0.72222076,0.04080015,1.16596860,0.02493998,0.00725604,35.49196577,25.76006752,59.13740487,0.02209092,0,1,1.36000000,1.17446123,-0.85735266,-2.17508188,-1.40104385,0.75725604
17,0.45500153,-0.01459920,1.22579871,-0.72454248,0.03624443,1.04682236,0.01899941,0.00576562,39.84127291,29.04032200,64.06026769,0.02039249,0,1,1.44000000,1.04471745,-0.77415129,-2.18101965,-1.39914914,0.75576562
18,0.54169278,-0.07852813,1.22731875,-0.72396357,0.03773870,0.94034189,0.02143328,0.00634708,41.11642718,32.34576125,68.85243974,0.01882464,0,1,1.52000000,0.93505183,-0.69569869,-2.17856694,-1.40009763,0.75634708
