step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
25,0.94537497,-0.39717978,1.21309238,-0.74113731,0.01581005,0.43510461,0.00846235,0.00161364,55.75796314,56.13831029,101.39074289,0.00992609,0,1,3.28000000,0.38596055,-0.33698596,-2.19160899,-1.39890351,0.75161364
26,0.96879177,-0.41756850,1.21350253,-0.74272105,0.01533954,0.40492956,0.00746022,0.00111088,58.78262557,58.84252154,104.64536391,0.00916294,0,1,3.36000000,0.35315542,-0.31520048,-2.19260628,-1.39900608,0.75111088
27,1.00489463,-0.44961140,1.21034233,-0.74332247,0.01231069,0.35818907,0.00544109,0.00049874,63.02789014,61.49811404,107.83892698,0.00845846,0,1,3.44000000,0.30107660,-0.27839984,-2.19499176,-1.39787325,0.75049874
28,1.02316755,-0.46646260,1.20817308,-0.74364628,0.01035225,0.33416040,0.00410058,0.00018866,67.12916956,64.04092857,110.85513810,0.00780814,0,1,3.52000000,0.27181270,-0.25963073,-2.19753106,-1.39672599,0.74981134
29,1.05105115,-0.49287613,1.20821240,-0.74301579,0.01078066,0.29715054,0.00414956,0.00018162,67.73494460,66.52527029,113.76779594,0.00720782,0,1,3.60000000,0.23389158,-0.22836298,-2.19767934,-1.39656003,0.74981838
30,1.06991416,-0.51127024,1.20623115,-0.74494004,0.00802686,0.27187171,0.00407401,0.00070901,70.02435009,68.92299024,116.51823806,0.00665366,0,1,3.68000000,0.20459103,-0.20989289,-2.19928213,-1.39598973,0.74929099
31,1.08639865,-0.52813555,1.20601545,-0.74561901,0.00744169,0.24925710,0.00416889,0.00098935,70.55469019,71.23535684,119.14832697,0.00614210,0,1,3.76000000,0.18047890,-0.19185976,-2.19998216,-1.39583115,0.74901065
32,1.09732383,-0.53971927,1.20828233,-0.74547960,0.00943562,0.23400937,0.00388331,0.00030867,76.62677330,73.44902957,121.65924412,0.00566987,0,1,3.84000000,0.16622730,-0.17926791,-2.19747655,-1.39704835,0.74969133
33,1.11096405,-0.55436290,1.20934646,-0.74442173,0.01088455,0.21494482,0.00481107,0.00027840,78.59607553,75.58502559,124.08832593,0.00523395,0,1,3.92000000,0.14747922,-0.16197675,-2.19584031,-1.39758270,0.75027840
34,1.12321234,-0.56773603,1.20810876,-0.74452608,0.00978345,0.19777891,0.00457679,0.00018361,79.96493341,77.64564597,126.39765801,0.00483155,0,1,4.00000000,0.12783854,-0.14766955,-2.19632897,-1.39726677,0.75018361
