step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-3.12000000,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.42528000,0.00000000,0.00000000,1.41509717,5.09488434,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-2.90133794,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.18792508,1.29865776,-0.60924168,0.17189025,4.71742804,0.11678397,0.03030508,2.03952657,0.03850522,1.71484451,0.06250000,1,1,0.32000000,4.79681847,-3.33861565,-2.08514299,-1.37887270,0.78030508
4,-2.13608872,1.93133049,1.34088106,-0.55157066,0.24335504,4.28007257,0.18230412,0.04657842,4.04385377,0.21616093,4.29535850,0.05769477,0,1,0.40000000,4.41116163,-2.95359046,-2.02096919,-1.36560872,0.79657842
5,-1.77394003,1.68580265,1.19901181,-0.73289190,0.01713662,3.84414540,0.01545852,0.00350625,6.79571212,0.67449200,7.75023512,0.05325899,0,1,0.48000000,3.79593271,-2.86931600,-2.18460781,-1.39856951,0.75350625
6,-1.45549992,1.45423478,1.18208522,-0.76319549,0.02224995,3.45113471,0.01280292,0.00387382,8.14479369,1.51247887,11.79290270,0.04916424,0,1,0.56000000,3.38324994,-2.62122008,-2.21259052,-1.40232242,0.74612618
7,-1.17493554,1.23858287,1.20475156,-0.73425779,0.01644367,3.09754429,0.01465587,0.00326286,9.09024531,2.73762594,16.16419123,0.04538431,0,1,0.64000000,3.06371005,-2.32175002,-2.18534712,-1.40029611,0.75326286
8,-0.92216978,1.04565559,1.19869348,-0.75363103,0.00385893,2.77992510,0.00579207,0.00077486,10.87644358,4.33277906,20.54072227,0.04189500,0,1,0.72000000,2.74325383,-2.10810809,-2.19743622,-1.40519375,0.74922514
9,-0.69501852,0.87187953,1.21256890,-0.73782744,0.01749709,2.49431121,0.02051388,0.00407685,11.85083892,6.26819734,25.06970933,0.03867396,0,1,0.80000000,2.47766233,-1.87579088,-2.17991496,-1.40417255,0.75407685
10,-0.49043134,0.71624065,1.21060788,-0.73376333,0.01939476,2.23772647,0.01866020,0.00422515,13.14152366,8.50781807,29.66546756,0.03570057,0,1,0.88000000,2.22036206,-1.67985176,-2.18138352,-1.40127661,0.75422515
11,-0.30662717,0.57714997,1.20589556,-0.73814777,0.01323756,2.00779792,0.01047491,0.00222525,14.80347079,11.01181223,34.34551485,0.03295578,0,1,0.96000000,1.98492742,-1.51440639,-2.18952792,-1.39975650,0.75222525
12,-0.14218254,0.45202677,1.21161616,-0.74101566,0.01468515,1.80175535,0.01249614,0.00220811,19.11288079,13.73796388,39.10770371,0.03042202,0,1,1.04000000,1.78547945,-1.36437207,-2.18774342,-1.40243511,0.75220811
13,0.00544256,0.33927618,1.21429271,-0.73688169,0.01940030,1.61662923,0.01644389,0.00356472,19.90574379,16.64526089,44.02447489,0.02808306,0,1,1.12000000,1.60280465,-1.22122572,-2.18364979,-1.40175282,0.75356472
14,0.13805113,0.23814261,1.21408877,-0.74105839,0.01668670,1.45057272,0.01807710,0.00349813,23.97137828,19.69695508,48.94243240,0.02592393,0,1,1.20000000,1.43494133,-1.10240963,-2.18234994,-1.40390598,0.75349813
15,0.25687516,0.14709826,1.21235744,-0.74161909,0.01493137,1.30164117,0.01440161,0.00277218,26.06015797,22.85833478,53.90826028,0.02393081,0,1,1.28000000,1.28203937,-0.99175323,-2.18579140,-1.40234990,0.75277218
16,0.36310795,0.06510224,1.21325272,-0.74050051,0.01630567,1.16823797,0.01715575,0.00347030,27.05361382,26.09785334,58.82781492,0.02209092,0,1,1.36000000,1.14765507,-0.89030720,-2.18311447,-1.40303295,0.75347030
17,0.45814558,-0.00855704,1.21245324,-0.74218811,0.01470064,1.04884968,0.01548805,0.00289438,27.33368118,29.38681159,63.65464353,0.02039249,0,1,1.44000000,1.02493003,-0.80257664,-2.18482178,-1.40308240,0.75289438
18,0.54308539,-0.07486870,1.21021314,-0.74601468,0.01096316,0.94198677,0.01053898,0.00132201,29.92448445,32.69984666,68.35668172,0.01882464,0,1,1.52000000,0.91285397,-0.72655133,-2.18979644,-1.40263769,0.75132201
