step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-3.12000000,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.42528000,0.00000000,0.00000000,1.41509717,5.09488434,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-2.90133794,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.18792508,1.04995717,-0.94774494,0.24822553,4.71742804,0.16445155,0.04221766,5.57298659,0.03850522,1.67798461,0.06250000,1,1,0.32000000,4.49837775,-3.74481957,-2.35904283,-1.44182931,0.70778234
4,-2.15280140,1.90858307,1.24792660,-0.67122010,0.09221297,4.27894160,0.08667970,0.02148354,8.76243007,0.21616093,4.25964634,0.05769477,0,1,0.40000000,4.31967150,-3.06987289,-2.11394093,-1.38964595,0.77148354
5,-1.80293873,1.64679452,1.21258723,-0.73137724,0.02247767,3.84216931,0.03195914,0.00770688,11.65315390,0.67562974,7.85517560,0.05325899,0,1,0.48000000,3.84702166,-2.82068865,-2.16812899,-1.39762828,0.75770688
6,-1.48383341,1.41515900,1.14928035,-0.82588423,0.09127376,3.44831484,0.05618567,0.01575728,15.03435939,1.51408555,11.92271127,0.04916424,0,1,0.56000000,3.37788428,-2.64955564,-2.25480809,-1.41236540,0.73424272
7,-1.20234337,1.19908736,1.17490910,-0.77816964,0.03772375,3.09357321,0.02180452,0.00591679,19.70330441,2.74044482,16.37079449,0.04538431,0,1,0.64000000,3.06078850,-2.32704962,-2.22136570,-1.40435247,0.74408321
8,-0.94986999,1.00518325,1.15428958,-0.80701219,0.07307415,2.77535749,0.04603101,0.01258001,22.13753840,4.33932176,20.75021827,0.04189500,0,1,0.72000000,2.72320940,-2.12359868,-2.24558251,-1.40641005,0.73741999
9,-0.72391134,0.83041253,1.17467534,-0.78583786,0.04388269,2.48980694,0.02299518,0.00634387,23.92162597,6.27933124,25.28494950,0.03867396,0,1,0.80000000,2.46686144,-1.88364298,-2.22185243,-1.40715888,0.74365613
10,-0.52041007,0.67396215,1.18399497,-0.77320408,0.02818848,2.23326645,0.01353797,0.00343714,24.80727000,8.52241709,29.88918738,0.03570057,0,1,0.88000000,2.22440104,-1.67644647,-2.21220782,-1.40585199,0.74656286
11,-0.33663894,0.53487372,1.17778225,-0.77203365,0.03129074,2.00303762,0.01682653,0.00430127,28.15172106,11.02860628,34.60543617,0.03295578,0,1,0.96000000,1.98720557,-1.50433795,-2.21626126,-1.40432475,0.74569873
12,-0.17196980,0.41039608,1.18600051,-0.76372120,0.01960247,1.79689182,0.01041010,0.00229842,29.85298040,13.75673377,39.44656096,0.03042202,0,1,1.04000000,1.79048539,-1.34166189,-2.20961429,-1.40399194,0.74770158
13,-0.02400969,0.29915890,1.19241968,-0.75597388,0.00965135,1.61212100,0.00431609,0.00014467,30.94636066,16.66520450,44.40476331,0.02808306,0,1,1.12000000,1.61189971,-1.19599562,-2.20302218,-1.40308141,0.74985533
14,0.10922835,0.19998326,1.19168462,-0.75908747,0.01231778,1.44646155,0.00524294,0.00048968,31.86717343,19.71582997,49.38158513,0.02592393,0,1,1.20000000,1.44264369,-1.07825332,-2.20373903,-1.40367533,0.74951032
15,0.22870199,0.11089718,1.18893613,-0.76374076,0.01764136,1.29790747,0.00845668,0.00167852,32.82428130,22.87385826,54.36562818,0.02393081,0,1,1.28000000,1.28774161,-0.97485795,-2.20779556,-1.40327789,0.74832148
16,0.33543897,0.03042706,1.19045020,-0.76447901,0.01734475,1.16470261,0.00847535,0.00173816,33.59895014,26.10790464,59.30622188,0.02209092,0,1,1.36000000,1.15349483,-0.87747117,-2.20752121,-1.40390679,0.74826184
17,0.43094048,-0.04210792,1.19473370,-0.75914050,0.01054906,1.04525774,0.00514148,0.00003710,35.15102890,29.38988720,64.20824949,0.02039249,0,1,1.44000000,1.03631271,-0.78265846,-2.20169596,-1.40485371,0.74996290
18,0.51665786,-0.10699610,1.19572836,-0.75652402,0.00779806,0.93830192,0.00545887,0.00085519,36.21841448,32.69526001,69.00783030,0.01882464,0,1,1.52000000,0.92718527,-0.70060967,-2.19873269,-1.40530973,0.75085519
