step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-0.07645719,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.59571840,0.00000000,0.00000000,1.41509717,5.20281414,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-0.06745914,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.59010571,0.59232969,-1.38413929,0.87829144,4.97785393,0.65961868,0.15687273,0.06147526,0.02325085,1.12852514,0.06250000,1,1,0.32000000,3.94922478,-0.05847274,-2.85464468,-1.48085266,0.59312727
4,-2.18355397,2.58521222,1.29722700,-0.63360006,0.15166422,4.75100811,0.12194905,0.03453565,3.20596405,0.13065345,2.73652552,0.06250000,1,1,0.40000000,4.42548058,-0.04950965,-2.07822158,-1.39355105,0.78453565
5,-1.84094566,2.58103633,1.33151467,-0.60528300,0.19554825,4.51033852,0.15545495,0.04100137,5.07772934,0.37859335,4.70991777,0.05769477,0,1,0.48000000,4.04466369,-3.78911419,-2.04490145,-1.38947947,0.79100137
6,-1.50823296,2.36765771,1.28171878,-0.66328866,0.11915039,4.12968708,0.09185060,0.02540691,6.50362016,0.85767580,7.16999379,0.05325899,0,1,0.56000000,3.57499264,-3.59581936,-2.10815016,-1.39962750,0.77540691
7,-1.21096145,2.07535308,1.24733674,-0.71325748,0.05992311,3.71420989,0.04962066,0.01384444,8.54012378,1.65384565,10.14971449,0.04916424,0,1,0.64000000,3.16653549,-3.29881053,-2.15087077,-1.40696626,0.76384444
8,-0.94783564,1.80432003,1.23705063,-0.73152519,0.04140130,3.33732658,0.03718772,0.00923671,11.19142100,2.86871187,13.76247518,0.04538431,0,1,0.72000000,2.82817087,-2.98989560,-2.16477688,-1.41192721,0.75923671
9,-0.71346121,1.55771442,1.23507343,-0.72575602,0.04263702,2.99781248,0.03814802,0.01026507,12.60255934,4.52938273,17.86013810,0.04189500,0,1,0.80000000,2.53449417,-2.68202745,-2.16305076,-1.40948818,0.76026507
10,-0.50365344,1.33576339,1.21166970,-0.75298515,0.01204546,2.69311046,0.01525956,0.00330785,14.23584788,6.62169301,22.16945743,0.03867396,0,1,0.88000000,2.24481259,-2.44389034,-2.18991055,-1.41144802,0.75330785
11,-0.31711608,1.13453687,1.21596465,-0.74260358,0.01759480,2.41932230,0.02040990,0.00554885,15.70208308,9.10907136,26.69040408,0.03570057,0,1,0.96000000,2.01653077,-2.18600775,-2.18220202,-1.40998980,0.75554885
12,-0.15031485,0.95346707,1.21223458,-0.74431502,0.01349089,2.17374107,0.01963265,0.00503824,17.19038263,11.94422642,31.27028104,0.03295578,0,1,1.04000000,1.80254765,-1.96731396,-2.18357711,-1.41075777,0.75503824
13,-0.00097544,0.79083330,1.20365847,-0.75402664,0.00544043,1.95358882,0.01316631,0.00306056,22.12143596,15.07631366,35.87942870,0.03042202,0,1,1.12000000,1.60395593,-1.78080477,-2.19158910,-1.41012959,0.75306056
14,0.13210723,0.64389270,1.20879610,-0.75062011,0.00881793,1.75594186,0.01673955,0.00416132,22.66976953,18.45439047,40.53391404,0.02808306,0,1,1.20000000,1.44158716,-1.59781965,-2.18709675,-1.41066390,0.75416132
15,0.25133105,0.51167548,1.21413487,-0.74890489,0.01417723,1.57854293,0.02154073,0.00522142,23.89125529,22.03012606,45.18334292,0.02592393,0,1,1.28000000,1.29635346,-1.43493999,-2.18219038,-1.41211695,0.75522142
16,0.35852494,0.39297117,1.21246904,-0.75093388,0.01250396,1.41931793,0.02182584,0.00514178,25.51389230,25.75925126,49.82240366,0.02393081,0,1,1.36000000,1.15741689,-1.29315136,-2.18215804,-1.41257106,0.75514178
17,0.45445277,0.28611614,1.21492171,-0.74399120,0.01608611,1.27647065,0.02493309,0.00635004,30.23222655,29.60191686,54.47490445,0.02209092,0,1,1.44000000,1.03721110,-1.15517388,-2.17821829,-1.41213326,0.75635004
18,0.54031460,0.19039077,1.21398880,-0.74650561,0.01441864,1.14870345,0.02213916,0.00567605,32.06866912,33.52184368,59.02240970,0.02039249,0,1,1.52000000,0.92529278,-1.04223495,-2.18103046,-1.41141485,0.75567605
19,0.61702406,0.10430144,1.21474370,-0.74652742,0.01514713,1.03425910,0.02374059,0.00588239,32.79409370,37.48592038,63.50068948,0.01882464,0,1,1.60000000,0.82665443,-0.93817992,-2.17971179,-1.41232900,0.75588239
20,0.68552373,0.02674972,1.21843205,-0.74560204,0.01894947,0.93167911,0.02760030,0.00684298,35.27618039,41.46595665,67.88924382,0.01737733,0,1,1.68000000,0.74165965,-0.84352332,-2.17583778,-1.41334031,0.75684298
21,0.74689638,-0.04300390,1.21873198,-0.74585753,0.01918455,0.83972994,0.02625969,0.00639973,37.54293395,45.43806539,72.17209842,0.01604130,0,1,1.76000000,0.66142210,-0.75991049,-2.17733562,-1.41326263,0.75639973
22,0.80173585,-0.10580345,1.22066921,-0.74504488,0.02125487,0.75736618,0.02735137,0.00665410,38.27873067,49.38231218,76.34923360,0.01480798,0,1,1.84000000,0.59125855,-0.68360968,-2.17627976,-1.41361792,0.75665410
23,0.85072046,-0.16232344,1.21822522,-0.74748300,0.01839820,0.68363728,0.02457888,0.00597899,40.11465850,53.28173428,80.39920307,0.01366949,0,1,1.92000000,0.52313065,-0.61897496,-2.17899077,-1.41275671,0.75597899
24,0.89420598,-0.21339267,1.21393269,-0.74961663,0.01393796,0.61762238,0.02048811,0.00494704,42.30091708,57.12224174,84.33240714,0.01261853,0,1,2.00000000,0.45964799,-0.56072705,-2.18304219,-1.41149762,0.75494704
25,0.93250140,-0.25964879,1.21358121,-0.74612953,0.01412196,0.55856943,0.02146870,0.00557014,47.80726851,60.89219799,88.19666864,0.01164837,0,1,2.08000000,0.40738407,-0.50170373,-2.18152810,-1.41094048,0.75557014
26,0.96634646,-0.30120164,1.21236968,-0.74895566,0.01241368,0.50597820,0.01870409,0.00456263,51.56432465,64.58184394,91.84016442,0.01075280,0,1,2.16000000,0.35968615,-0.45607716,-2.18468544,-1.41073813,0.75456263
27,0.99626611,-0.33878285,1.21388469,-0.74820934,0.01399968,0.45891943,0.01827078,0.00447601,55.16746230,68.18312074,95.39570305,0.00992609,0,1,2.24000000,0.32022409,-0.41109065,-2.18507663,-1.41054109,0.75447601
28,1.02283112,-0.37274978,1.21246653,-0.74961431,0.01247250,0.41678116,0.01721431,0.00410231,55.83874914,71.69071824,98.81414183,0.00916294,0,1,2.32000000,0.28151676,-0.37316865,-2.18627128,-1.41038531,0.75410231
29,1.04628144,-0.40351340,1.21200256,-0.74982682,0.01200381,0.37905456,0.01758704,0.00420486,56.69609938,75.10114796,102.12755660,0.00845846,0,1,2.40000000,0.24793617,-0.33779108,-2.18589463,-1.41050441,0.75420486
30,1.06692227,-0.43138575,1.21196867,-0.75051173,0.01197960,0.34528933,0.01614559,0.00384699,58.47414838,78.41199409,105.30736189,0.00780814,0,1,2.48000000,0.21848199,-0.30656765,-2.18728879,-1.40995516,0.75384699
31,1.08510773,-0.45666053,1.21115446,-0.75088746,0.01118970,0.31503695,0.01530100,0.00359043,58.82259902,81.62184062,108.37969565,0.00720782,0,1,2.56000000,0.19127133,-0.27819509,-2.18817601,-1.40971153,0.75359043
32,1.10106249,-0.47959707,1.20955759,-0.75163826,0.00969698,0.28793467,0.01276356,0.00295034,61.08491427,84.73034316,111.33500176,0.00665366,0,1,2.64000000,0.16602612,-0.25317102,-2.19065371,-1.40869227,0.75295034
33,1.11495046,-0.50045133,1.20734418,-0.75220072,0.00766682,0.26364362,0.01125941,0.00254191,63.17253024,87.73781017,114.19068205,0.00614210,0,1,2.72000000,0.14274312,-0.23050066,-2.19218112,-1.40810181,0.75254191
34,1.12692870,-0.51943547,1.20791407,-0.75099638,0.00797655,0.24186652,0.01208578,0.00281764,64.28445432,90.64505676,116.96398801,0.00566987,0,1,2.80000000,0.12530765,-0.20802435,-2.19126168,-1.40834911,0.75281764
35,1.13737177,-0.53661685,1.20714047,-0.75167274,0.00733379,0.22238404,0.00988380,0.00219499,68.36856860,93.45329588,119.59919094,0.00523395,0,1,2.88000000,0.10831190,-0.19002803,-2.19353774,-1.40747855,0.75219499
36,1.14644462,-0.55225101,1.20573790,-0.75129201,0.00588157,0.20487275,0.00848312,0.00188338,71.23553042,96.16430372,122.16525941,0.00483155,0,1,2.96000000,0.09240907,-0.17267005,-2.19486759,-1.40675438,0.75188338
37,1.15421901,-0.56648120,1.20386963,-0.75086103,0.00396427,0.18914293,0.00811047,0.00188007,76.37833533,98.78036739,124.65055087,0.00446008,0,1,3.04000000,0.07770259,-0.15697767,-2.19508428,-1.40645101,0.75188007
38,1.16078817,-0.57941603,1.20235420,-0.75091951,0.00252740,0.17503273,0.00660620,0.00150983,78.49841007,101.30381648,127.02723660,0.00411717,0,1,3.12000000,0.06505644,-0.14345977,-2.19659825,-1.40566304,0.75150983
39,1.16629620,-0.59121725,1.20348339,-0.75019879,0.00348906,0.16232039,0.00712531,0.00175566,79.59320109,103.73701838,129.33156431,0.00380063,0,1,3.20000000,0.05704135,-0.13039198,-2.19586093,-1.40579984,0.75175566
40,1.17105187,-0.60196223,1.20441037,-0.74998635,0.00441040,0.15084156,0.00757809,0.00187530,80.27765755,106.08262280,131.54270095,0.00350842,0,1,3.28000000,0.04986413,-0.11921904,-2.19539871,-1.40602127,0.75187530
41,1.17521325,-0.61176790,1.20345210,-0.74995035,0.00345246,0.14043680,0.00633064,0.00168571,82.48027043,108.34370993,133.67960703,0.00323868,0,1,3.36000000,0.04130896,-0.10939562,-2.19642767,-1.40522642,0.75168571
42,1.17872329,-0.62075532,1.20160948,-0.75025407,0.00162941,0.13098430,0.00502417,0.00140826,85.49893229,110.52354521,135.73623812,0.00298968,0,1,3.44000000,0.03263894,-0.10096603,-2.19766747,-1.40444990,0.75140826
43,1.18154249,-0.62903491,1.20048286,-0.75090595,0.00102660,0.12236516,0.00457909,0.00121954,86.78702775,112.62516352,137.70949300,0.00275982,0,1,3.52000000,0.02581548,-0.09380202,-2.19828935,-1.40424756,0.75121954
44,1.18428780,-0.63858705,1.20056153,-0.75104712,0.00118818,0.11251542,0.00424723,0.00119868,88.01636474,114.65141850,139.62364696,0.00254764,0,1,3.60000000,0.02067900,-0.08449108,-2.19852038,-1.40398117,0.75119868
45,1.18554908,-0.64369375,1.19995431,-0.75111291,0.00111385,0.10728395,0.00424457,0.00110772,89.51034010,116.61004215,141.47345854,0.00235177,0,1,3.68000000,0.01664598,-0.08041220,-2.19871174,-1.40404435,0.75110772
46,1.18697756,-0.65022462,1.19977504,-0.75116119,0.00118279,0.10062162,0.00380995,0.00095581,90.15263546,118.49410632,143.25411934,0.00217095,0,1,3.76000000,0.01306533,-0.07458678,-2.19929791,-1.40374470,0.75095581
47,1.18810872,-0.65633138,1.19916089,-0.75116395,0.00143488,0.09442041,0.00352109,0.00093413,91.11283595,120.31162680,144.98399843,0.00200404,0,1,3.84000000,0.00945295,-0.06919495,-2.19952118,-1.40348838,0.75093413
48,1.18895165,-0.66199638,1.19957441,-0.75152324,0.00158157,0.08869444,0.00342431,0.00085926,92.50165773,122.06559116,146.64013639,0.00184996,0,1,3.92000000,0.00754695,-0.06473656,-2.19975950,-1.40341585,0.75085926
49,1.18960115,-0.66728230,1.19971207,-0.75024287,0.00037668,0.08336878,0.00320535,0.00109641,96.85958324,123.75870488,148.28957959,0.00170773,0,1,4.00000000,0.00566343,-0.05873754,-2.19933604,-1.40313583,0.75109641
50,1.19009943,-0.67212528,1.20002960,-0.75022239,0.00022435,0.07850155,0.00405334,0.00134805,99.18854213,125.39371664,149.85909497,0.00157644,0,1,4.08000000,0.00429281,-0.05475090,-2.19833453,-1.40369537,0.75134805
51,1.19047575,-0.67660103,1.19950991,-0.74990016,0.00050015,0.07401432,0.00417775,0.00142448,100.97039094,126.97309614,151.38148399,0.00145523,0,1,4.16000000,0.00217380,-0.05080908,-2.19811779,-1.40372972,0.75142448
52,1.19070051,-0.68076036,1.19982580,-0.75004963,0.00018113,0.06986135,0.00417280,0.00140651,101.44695227,128.49929325,152.83759486,0.00134335,0,1,4.24000000,0.00134371,-0.04777676,-2.19815521,-1.40374286,0.75140651
53,1.19082793,-0.68465528,1.19998849,-0.74924471,0.00075537,0.06598530,0.00404928,0.00143641,103.96021345,129.97460432,154.26803839,0.00124007,0,1,4.32000000,0.00054556,-0.04387807,-2.19816374,-1.40360899,0.75143641
54,1.19089073,-0.68825909,1.20108055,-0.74955138,0.00116998,0.06240928,0.00455834,0.00159675,108.78456150,131.40132246,155.63656686,0.00114473,0,1,4.40000000,0.00103389,-0.04162232,-2.19759127,-1.40386994,0.75159675
55,1.19096172,-0.69164302,1.20202588,-0.74933108,0.00213346,0.05905276,0.00518806,0.00170293,110.86820511,132.78156934,156.96718471,0.00105672,0,1,4.48000000,0.00142486,-0.03895615,-2.19706541,-1.40427833,0.75170293
56,1.19106632,-0.69482350,1.20069426,-0.75040929,0.00080592,0.05589505,0.00453856,0.00142227,115.08175832,134.11753934,158.22371006,0.00097547,0,1,4.56000000,-0.00087326,-0.03804902,-2.19792924,-1.40403862,0.75142227
57,1.19105162,-0.69788919,1.20062445,-0.75037829,0.00073010,0.05287353,0.00478564,0.00148106,115.48922993,135.41133188,159.47398209,0.00090047,0,1,4.64000000,-0.00143526,-0.03590410,-2.19768634,-1.40418919,0.75148106
58,1.19095029,-0.70081300,1.20005747,-0.75025916,0.00026545,0.05001258,0.00430793,0.00143514,116.80978766,136.66482043,160.68676071,0.00083124,0,1,4.72000000,-0.00241583,-0.03377824,-2.19802540,-1.40382874,0.75143514
59,1.19078055,-0.70356628,1.20074536,-0.74973051,0.00079258,0.04734014,0.00444463,0.00156710,118.70005325,137.87974980,161.87512508,0.00076733,0,1,4.80000000,-0.00173893,-0.03131941,-2.19770370,-1.40380549,0.75156710
60,1.19059041,-0.70675723,1.20119325,-0.74965457,0.00124225,0.04425469,0.00434245,0.00162661,121.28268050,139.05772360,163.01794036,0.00070834,0,1,4.88000000,-0.00126034,-0.02883187,-2.19764716,-1.40364980,0.75162661
