step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-3.12000000,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.42528000,0.00000000,0.00000000,1.41509717,5.09488434,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-2.90133794,2.00000000,0.00000000,0.00000000
3,-2.41907503,2.12989832,1.47557135,-0.37890607,0.46222319,4.62509658,0.36042788,0.08851545,0.52346352,0.03850522,1.73350689,0.06250000,1,1,0.32000000,4.92292794,-2.99258082,-1.84773313,-1.32373524,0.83851545
4,-2.12902659,1.95070844,1.29125706,-0.64169863,0.14162287,4.28675217,0.11578725,0.02700161,1.02989133,0.28539751,4.94905874,0.05769477,0,1,0.40000000,4.34313827,-3.08499756,-2.08535987,-1.38374179,0.77700161
5,-1.76766058,1.70612664,1.22276059,-0.74274584,0.02388865,3.85221590,0.01792552,0.00223584,3.67000694,0.70183408,7.84634498,0.05325899,0,1,0.48000000,3.81689591,-2.90552951,-2.18208272,-1.39945643,0.75223584
6,-1.44967909,1.46937704,1.17863524,-0.78475045,0.04079273,3.45636134,0.03551719,0.01104781,6.76504113,1.49405517,11.62064861,0.04916424,0,1,0.56000000,3.37212497,-2.66525675,-2.23543270,-1.40244838,0.73895219
7,-1.16923459,1.25038996,1.15258773,-0.80904472,0.07572452,3.10077934,0.05878080,0.01730840,8.70597445,2.67894696,15.78611599,0.04538431,0,1,0.64000000,2.99427232,-2.42566283,-2.25858062,-1.40484698,0.73269160
8,-0.92062434,1.05058668,1.14102089,-0.82247619,0.09344161,2.78193457,0.07885256,0.02236757,11.81933626,4.23937911,20.11070511,0.04189500,0,1,0.72000000,2.67219221,-2.19663960,-2.27876229,-1.40377200,0.72763243
9,-0.69911904,0.86935895,1.16115445,-0.79806754,0.06180182,2.49579177,0.05370233,0.01557739,13.52337960,6.14356487,24.62619392,0.03867396,0,1,0.80000000,2.42088561,-1.94505429,-2.25356392,-1.40385311,0.73442261
10,-0.49941684,0.70771656,1.17645583,-0.77502153,0.03435703,2.23896296,0.03239672,0.00909176,16.73471586,8.35350696,29.26523726,0.03570057,0,1,0.88000000,2.19016219,-1.71913270,-2.23239065,-1.40062712,0.74090824
11,-0.31866650,0.56476382,1.18496866,-0.76373660,0.02036260,2.00871896,0.02084493,0.00579603,17.50912994,10.82872580,33.97527538,0.03295578,0,1,0.96000000,1.97426233,-1.53024961,-2.22083604,-1.40060867,0.74420397
12,-0.15554391,0.43781066,1.19083761,-0.75880907,0.01271020,1.80233001,0.01584388,0.00418403,18.99463011,13.52748421,38.77913690,0.03042202,0,1,1.04000000,1.77657884,-1.36866483,-2.21584283,-1.39981784,0.74581597
13,-0.00867320,0.32443944,1.18915624,-0.76163071,0.01590159,1.61719233,0.01992382,0.00515157,20.46041675,16.40917951,43.66109312,0.02808306,0,1,1.12000000,1.58957980,-1.23312045,-2.21987562,-1.39861491,0.74484843
14,0.12298116,0.22253674,1.18667420,-0.76051720,0.01697611,1.45113655,0.02009224,0.00494714,22.19050357,19.43602242,48.62940128,0.02592393,0,1,1.20000000,1.42012782,-1.10703315,-2.21994167,-1.39754484,0.74505286
15,0.24065823,0.13094799,1.18854801,-0.75873626,0.01440383,1.30246151,0.01687067,0.00388748,24.23158903,22.57300752,53.59001508,0.02393081,0,1,1.28000000,1.27292836,-0.99291353,-2.21667218,-1.39741972,0.74611252
16,0.34602529,0.04877604,1.19149279,-0.75301071,0.00902425,1.16932287,0.01323552,0.00252882,25.47586732,25.78755309,58.53833825,0.02209092,0,1,1.36000000,1.14204236,-0.88572799,-2.21286275,-1.39688091,0.74747118
17,0.44052994,-0.02465465,1.18848457,-0.75549791,0.01276057,1.05020029,0.01674621,0.00349869,26.01729097,29.05097658,63.37357022,0.02039249,0,1,1.44000000,1.01730640,-0.79923126,-2.21630191,-1.39616811,0.74650131
18,0.52490811,-0.09066908,1.18918217,-0.75630853,0.01252290,0.94364523,0.01579265,0.00337904,26.75413529,32.33798974,68.08858048,0.01882464,0,1,1.52000000,0.90942953,-0.71994351,-2.21546709,-1.39680991,0.74662096
