step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,0.30000000,0.80884573,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,0.29120000,0.73119654,0.00000000,0.00000000,1.41509717,1.73777462,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,0.37251664,0.57641013,0.93005002,-0.88866022,0.30347924,1.56335938,0.63950055,0.19158190,0.08816677,0.00305342,0.86065933,0.06250000,1,1
3,0.47638027,0.45332751,1.24663586,-0.72068756,0.05508287,1.40414480,0.04074028,0.01381877,1.42749070,0.03198768,2.54465699,0.06250000,1,1
4,0.57030592,0.34203336,1.24765296,-0.72844280,0.05230217,1.26057586,0.03527598,0.01101909,2.25778940,0.09772654,4.27498782,0.06250000,1,1
5,0.64795884,0.23927097,1.20349796,-0.75388432,0.00522721,1.13287532,0.05549311,0.01596937,3.43907137,0.20529896,6.13299530,0.04538431,0,1
6,0.71436350,0.14528497,1.19083721,-0.76683364,0.01916581,1.01851754,0.08509948,0.02555651,4.71464953,0.35377232,8.06228987,0.03295578,0,1
7,0.77279903,0.06053913,1.19714935,-0.76511342,0.01537991,0.91622833,0.06622688,0.01983126,5.63942562,0.54056621,10.01051149,0.02393081,0,1
8,0.82520237,-0.01493685,1.21228411,-0.75305979,0.01265945,0.82510066,0.02404614,0.00697359,8.31820286,0.76200613,11.94810655,0.01737733,0,1
9,0.87174411,-0.08284011,1.22025748,-0.74885103,0.02029004,0.74354169,0.00946000,0.00024830,9.27593992,1.01364196,13.84439929,0.01261853,0,1
10,0.91132744,-0.14476270,1.20845153,-0.75326260,0.00905941,0.67055502,0.02189064,0.00662649,10.92361745,1.29112393,15.69076573,0.00916294,0,1
11,0.94555964,-0.20091563,1.20429530,-0.75363479,0.00562684,0.60517233,0.02747657,0.00874922,13.15762696,1.58977604,17.47657733,0.00665366,0,1
12,0.97504923,-0.25225781,1.19930109,-0.75807327,0.00810346,0.54621437,0.03586358,0.01205675,15.85548654,1.90532821,19.18894426,0.00483155,0,1
13,1.00184588,-0.29815902,1.20935572,-0.75106183,0.00941578,0.49338153,0.01001486,0.00255534,19.53984845,2.23417411,20.83899255,0.00350842,0,1
14,1.02530826,-0.33968396,1.20870676,-0.74968470,0.00871247,0.44595566,0.00997321,0.00218600,20.31196094,2.57293636,22.41850931,0.00254764,0,1
15,1.04632940,-0.37719888,1.21289249,-0.74777390,0.01308327,0.40323111,0.00826229,0.00049922,21.88628873,2.91845495,23.92491161,0.00184996,0,1
16,1.06458488,-0.41135623,1.21029360,-0.74870793,0.01037438,0.36471476,0.01066372,0.00218498,22.92899651,3.26819143,25.36124715,0.00134335,0,1
17,1.08074178,-0.44230601,1.21105830,-0.74792610,0.01125109,0.32999714,0.00822552,0.00012975,24.13314183,3.61978604,26.73172425,0.00097547,0,1
18,1.09477387,-0.47054530,1.20875596,-0.74920715,0.00879178,0.29860922,0.00889520,0.00139600,25.26942952,3.97124880,28.03297632,0.00070834,0,1
19,1.10717040,-0.49617516,1.20883596,-0.74893065,0.00890043,0.27026724,0.00861164,0.00127259,25.75145139,4.32089192,29.27202009,0.00051436,0,1
20,1.11786286,-0.51965787,1.20606782,-0.75096355,0.00614385,0.24454858,0.01282571,0.00349591,26.51132218,4.66728568,30.44516802,0.00037350,0,1
21,1.12725069,-0.54105857,1.20533509,-0.75163119,0.00557889,0.22124417,0.01590931,0.00459678,26.80536321,5.00928647,31.56091620,0.00027122,0,1
22,1.13547614,-0.56032845,1.20442346,-0.74980924,0.00442757,0.20034627,0.01609048,0.00462139,31.07193982,5.34594302,32.62666976,0.00019694,0,1
23,1.14276649,-0.57784993,1.20441723,-0.74993699,0.00441768,0.18141478,0.01629714,0.00483019,31.57936430,5.67624131,33.63435732,0.00014301,0,1
24,1.14945658,-0.59351935,1.20671126,-0.74732817,0.00722355,0.16444097,0.01118517,0.00282168,34.42565067,5.99959010,34.59819705,0.00010385,0,1
