step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
38,1.21012143,-0.73984387,1.20346079,-0.74183235,0.00887061,0.01433842,0.63490540,0.18240099,78.28567236,0.01604376,2.45265939,0.00000045,0,1
39,1.20941375,-0.73993406,1.20265377,-0.74125027,0.00914332,0.01378194,0.69600441,0.19986799,79.78138193,0.01677349,2.51010669,0.00000033,0,1
40,1.20877383,-0.74009219,1.20268047,-0.74198177,0.00845441,0.01323423,0.62809039,0.18043702,81.27341379,0.01750404,2.56519906,0.00000024,0,1
41,1.20820851,-0.74037210,1.20283993,-0.74335118,0.00722994,0.01265212,0.51236520,0.14738083,82.73711819,0.01823276,2.61835462,0.00000017,0,1
42,1.20765455,-0.74061534,1.20241023,-0.74319952,0.00721497,0.01211049,0.51984951,0.14952397,84.03733475,0.01895675,2.67228081,0.00000013,0,1
43,1.20711326,-0.74080541,1.20200130,-0.74284618,0.00742848,0.01162492,0.55027278,0.15821325,84.56078390,0.01967647,2.72490818,0.00000009,0,1
44,1.20653140,-0.74116129,1.20104729,-0.74472662,0.00537637,0.01099008,0.44190181,0.12725181,89.24919485,0.02039213,2.77177399,0.00000007,0,1
45,1.20588073,-0.74160180,1.19975603,-0.74593247,0.00407484,0.01025245,0.37977097,0.10951558,92.58733476,0.02110718,2.81892172,0.00000005,0,1
46,1.20536664,-0.74196780,1.20053326,-0.74556963,0.00446235,0.00966007,0.40275902,0.11608726,94.50658160,0.02182649,2.87031980,0.00000003,0,1
47,1.20475670,-0.74224015,1.19902443,-0.74493686,0.00515627,0.00910173,0.40826409,0.11765047,100.04641902,0.02254343,2.91800450,0.00000003,0,1
48,1.20423531,-0.74239996,1.19933917,-0.74401692,0.00601946,0.00870048,0.49658028,0.14286135,103.24404602,0.02326356,2.96749544,0.00000002,0,1
49,1.20363012,-0.74248111,1.19794636,-0.74334036,0.00696910,0.00834934,0.55123961,0.15846419,107.19801049,0.02398232,3.01339217,0.00000001,0,1
50,1.20308363,-0.74244705,1.19795327,-0.74220680,0.00805749,0.00815818,0.58064024,0.16686027,113.63709945,0.02470442,3.05888850,0.00000001,0,1
51,1.20257538,-0.74247810,1.19780519,-0.74283852,0.00749026,0.00795057,0.49609238,0.14269149,116.93774883,0.02542672,3.10333012,0.00000001,0,1
52,1.20210706,-0.74270700,1.19771269,-0.74492001,0.00557119,0.00759128,0.42266258,0.12172150,126.45557585,0.02614807,3.14732744,0.00000001,0,1
53,1.20170820,-0.74306225,1.19796732,-0.74645594,0.00408560,0.00714495,0.35655919,0.10284724,130.64971450,0.02686785,3.18947673,0.00000000,0,1
54,1.20128566,-0.74336595,1.19732107,-0.74626663,0.00459507,0.00675748,0.37095878,0.10695557,131.51995895,0.02758369,3.23317244,0.00000000,0,1
55,1.20098156,-0.74366552,1.19813140,-0.74652077,0.00394927,0.00641008,0.32740430,0.09452641,133.49198781,0.02829729,3.27518906,0.00000000,0,1
56,1.20075560,-0.74407436,1.19864026,-0.74795311,0.00245736,0.00597362,0.23912722,0.06934142,136.95240734,0.02900308,3.31455959,0.00000000,0,1
57,1.20045519,-0.74433031,1.19763787,-0.74676467,0.00400587,0.00568793,0.35878919,0.10348537,143.72799862,0.02969853,3.35807560,0.00000000,0,1
58,1.20012624,-0.74451976,1.19703913,-0.74632387,0.00472024,0.00548170,0.39938356,0.11507742,145.47203943,0.03038726,3.39894249,0.00000000,0,1
59,1.19976818,-0.74472108,1.19640608,-0.74663382,0.00492417,0.00528400,0.39547060,0.11395811,146.75399457,0.03107085,3.43727891,0.00000000,0,1
60,1.19951757,-0.74494352,1.19716634,-0.74705220,0.00408890,0.00507944,0.35433078,0.10221045,148.26810862,0.03175141,3.47525807,0.00000000,0,1
61,1.19927296,-0.74517009,1.19697738,-0.74731534,0.00404272,0.00488433,0.32723405,0.09447255,148.93579444,0.03242414,3.51166181,0.00000000,0,1
62,1.19910776,-0.74534270,1.19755919,-0.74697784,0.00388471,0.00474200,0.31536545,0.09108553,152.61673258,0.03308937,3.54937883,0.00000000,0,1
63,1.19895567,-0.74560946,1.19752975,-0.74812961,0.00309847,0.00451303,0.23603536,0.06844068,154.86002194,0.03374321,3.58253927,0.00000000,0,1
64,1.19877438,-0.74581157,1.19707288,-0.74772143,0.00370943,0.00436407,0.30239452,0.08738297,158.39210623,0.03438654,3.61917508,0.00000000,0,1
65,1.19863916,-0.74604527,1.19737086,-0.74825150,0.00315747,0.00418231,0.30621408,0.08847349,162.66831339,0.03502082,3.65341275,0.00000000,0,1
66,1.19854778,-0.74633628,1.19769168,-0.74908115,0.00248448,0.00394104,0.22334041,0.06481504,166.08339470,0.03564469,3.68454636,0.00000000,0,1
67,1.19849892,-0.74661904,1.19804268,-0.74928549,0.00208365,0.00369920,0.23031662,0.06680541,167.83076405,0.03625723,3.71756405,0.00000000,0,1
68,1.19843319,-0.74683181,1.19781771,-0.74883845,0.00247217,0.00353444,0.26734641,0.07737591,168.51198052,0.03685702,3.75009169,0.00000000,0,1
69,1.19834084,-0.74697430,1.19747422,-0.74831859,0.00303426,0.00345075,0.29009445,0.08387119,169.77229095,0.03744479,3.78090410,0.00000000,0,1
70,1.19829308,-0.74713642,1.19784601,-0.74866505,0.00253412,0.00333372,0.25904161,0.07500434,170.44880900,0.03802160,3.80997803,0.00000000,0,1
71,1.19823836,-0.74726902,1.19772537,-0.74851934,0.00271409,0.00324987,0.26182236,0.07579738,170.95381029,0.03858615,3.83899575,0.00000000,0,1
72,1.19815678,-0.74737849,1.19739054,-0.74841065,0.00305538,0.00320465,0.27904907,0.08071824,171.58508730,0.03913899,3.86671522,0.00000000,0,1
73,1.19811013,-0.74745790,1.19767265,-0.74820682,0.00293803,0.00316763,0.28646386,0.08283216,172.52717897,0.03968157,3.89477257,0.00000000,0,1
74,1.19811238,-0.74751047,1.19813507,-0.74800634,0.00272996,0.00312424,0.28845668,0.08340286,175.83757093,0.04021245,3.92082860,0.00000000,0,1
75,1.19804853,-0.74756313,1.19744864,-0.74805967,0.00320535,0.00312195,0.28593735,0.08268642,177.62380710,0.04072967,3.94565224,0.00000000,0,1
76,1.19798743,-0.74759895,1.19741323,-0.74793689,0.00330875,0.00313296,0.27455334,0.07943303,179.81450332,0.04123663,3.97090414,0.00000000,0,1
77,1.19797636,-0.74764964,1.19787312,-0.74812731,0.00283382,0.00310150,0.25966404,0.07518331,182.69732884,0.04173345,3.99451618,0.00000000,0,1
78,1.19795190,-0.74766821,1.19772238,-0.74784350,0.00313656,0.00310354,0.27555047,0.07972249,183.93868417,0.04221855,4.01762562,0.00000000,0,1
79,1.19794683,-0.74772264,1.19789988,-0.74823538,0.00274306,0.00306625,0.26842722,0.07768957,186.02607651,0.04269261,4.04011545,0.00000000,0,1
80,1.19793959,-0.74779742,1.19787201,-0.74850180,0.00260249,0.00301607,0.26492676,0.07669082,186.81877977,0.04315562,4.06206904,0.00000000,0,1
81,1.19794058,-0.74792178,1.19795050,-0.74909300,0.00224123,0.00292578,0.22925552,0.06650503,188.37676184,0.04360832,4.08330507,0.00000000,0,1
82,1.19793288,-0.74798272,1.19786088,-0.74855669,0.00258050,0.00288832,0.24977312,0.07236270,190.07604430,0.04405131,4.10465459,0.00000000,0,1
83,1.19795673,-0.74805635,1.19818165,-0.74874978,0.00220668,0.00282006,0.22998783,0.06671092,190.82494037,0.04448461,4.12530431,0.00000000,0,1
84,1.19794922,-0.74806667,1.19787888,-0.74816395,0.00280539,0.00281841,0.30213058,0.08731359,197.26024210,0.04490748,4.14525841,0.00000000,0,1
85,1.19797225,-0.74809471,1.19818947,-0.74835877,0.00244370,0.00278242,0.27106347,0.07844272,199.77752138,0.04532081,4.16415337,0.00000000,0,1
86,1.19801616,-0.74805693,1.19842981,-0.74770112,0.00278394,0.00277690,0.29385553,0.08494833,202.90649976,0.04572394,4.18343764,0.00000000,0,1
87,1.19806788,-0.74797616,1.19855520,-0.74721562,0.00313691,0.00279804,0.32331627,0.09336514,206.17097427,0.04611574,4.20093948,0.00000000,0,1
88,1.19813062,-0.74791315,1.19872156,-0.74731985,0.00296945,0.00280170,0.31947691,0.09226539,207.08721370,0.04649584,4.21896462,0.00000000,0,1
89,1.19819581,-0.74790272,1.19880989,-0.74780450,0.00249731,0.00276653,0.30459637,0.08801720,209.48049996,0.04686444,4.23556127,0.00000000,0,1
90,1.19831624,-0.74789040,1.19945038,-0.74777431,0.00229255,0.00269916,0.29592362,0.08553474,212.01664035,0.04722237,4.25297029,0.00000000,0,1
91,1.19841466,-0.74783075,1.19934156,-0.74726903,0.00280922,0.00268681,0.32228833,0.09306391,213.61468193,0.04756802,4.26845031,0.00000000,0,1
92,1.19847648,-0.74773612,1.19905872,-0.74684499,0.00329243,0.00272879,0.36773816,0.10604802,217.10093026,0.04790210,4.28240329,0.00000000,0,1
