step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,0.30000000,-2.30884573,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,0.29120000,-2.08719654,0.00000000,0.00000000,1.41509717,1.61679065,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,0.41979506,-1.97082079,1.42253354,-0.88244758,0.25896628,1.44883510,0.39191445,0.14485215,0.21798753,0.02460290,3.02356789,0.06250000,1,1
3,0.52189085,-1.85595497,1.27549930,-0.78928883,0.08511026,1.29729272,0.12861233,0.04712711,4.48860087,0.06929917,4.47831728,0.06250000,1,1
4,0.60524964,-1.74521590,1.18309203,-0.72487930,0.03028083,1.15938893,0.04788689,0.02098527,6.00540349,0.14813794,6.77214520,0.06250000,1,1
5,0.68050891,-1.64732476,1.21350794,-0.75099253,0.01354435,1.03685231,0.01385224,0.00304071,7.74898375,0.26469768,9.16595195,0.04538431,0,1
6,0.74623474,-1.55873570,1.21631606,-0.75160591,0.01639490,0.92733831,0.01985974,0.00556074,8.08312371,0.41791472,11.65327467,0.03295578,0,1
7,0.80233618,-1.47831451,1.20470716,-0.74864422,0.00489852,0.82980633,0.00897285,0.00178295,10.00793915,0.60535319,14.16319525,0.02393081,0,1
8,0.85100248,-1.40601200,1.20289382,-0.75255414,0.00385978,0.74306865,0.01249113,0.00352379,11.29449315,0.82310705,16.57358880,0.01737733,0,1
9,0.89474939,-1.34191063,1.21694467,-0.76487798,0.02254941,0.66598508,0.05162097,0.01816855,13.78321804,1.06681361,18.78711577,0.01261853,0,1
10,0.93069074,-1.28250569,1.19351953,-0.74850459,0.00665077,0.59673259,0.00204216,0.00171251,18.48011490,1.33219911,21.18224131,0.00916294,0,1
11,0.96218063,-1.22905320,1.19509289,-0.74965480,0.00491924,0.53483645,0.00484226,0.00078507,19.02922639,1.61523904,23.26575775,0.00665366,0,1
12,0.98953822,-1.18095191,1.19371376,-0.75034133,0.00629550,0.47959745,0.00528448,0.00104445,19.39160893,1.91215646,25.25733056,0.00483155,0,1
13,1.01375718,-1.13790003,1.19699383,-0.75316123,0.00436239,0.43029388,0.01104844,0.00350695,22.01291731,2.21933074,27.09720303,0.00350842,0,1
14,1.03489904,-1.09916435,1.19644586,-0.75337751,0.00490301,0.38623059,0.00978001,0.00304836,22.14369396,2.53357898,28.86976789,0.00254764,0,1
15,1.05361176,-1.06425037,1.19843730,-0.75278667,0.00319493,0.34667393,0.01240117,0.00387546,22.79937370,2.85207660,30.51922194,0.00184996,0,1
16,1.06996242,-1.03275646,1.19773407,-0.75189211,0.00295204,0.31122498,0.01283646,0.00397321,23.72163030,3.17257305,32.07782535,0.00134335,0,1
17,1.08399749,-1.00423204,1.19433351,-0.74980340,0.00566990,0.27944680,0.00569032,0.00140567,24.57977592,3.49299863,33.57774203,0.00097547,0,1
18,1.09643934,-0.97870650,1.19544662,-0.75108288,0.00468037,0.25106070,0.00788634,0.00213854,25.38964009,3.81155022,34.94358834,0.00070834,0,1
