step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,2.10000000,0.80884573,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,1.91840000,0.80342081,0.00000000,0.00000000,1.41509717,1.71149490,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,1.88607907,0.79871574,1.37352535,-0.82535208,0.18917976,1.69387867,0.46188072,0.09308397,1.23877991,0.01650399,1.29637041,0.06250000,1,1
3,1.85362127,0.79472958,1.34018335,-0.82606132,0.15948886,1.67732234,0.42084160,0.08587984,3.48205162,0.02664652,1.64852459,0.06250000,1,1
4,1.81234398,0.79146047,1.21652998,-0.76469667,0.02211860,1.65863363,0.04675852,0.00755412,4.33079849,0.03654563,1.95019644,0.06250000,1,1
5,1.77040833,0.78890561,1.16933728,-0.74541346,0.03100386,1.64121788,0.07193597,0.01675323,6.04618981,0.04956514,2.28446685,0.06250000,1,1
6,1.72539883,0.78706128,1.09659193,-0.70970979,0.11097986,1.62437721,0.29083499,0.06312754,7.26849721,0.06686093,2.68079638,0.06250000,1,1
7,1.68952792,0.78592285,1.14825128,-0.73586790,0.05364370,1.61204733,0.13389672,0.02971021,7.82224241,0.09022073,3.14077032,0.06250000,1,1
8,1.65842811,0.78548476,1.16381833,-0.75020287,0.03618223,1.60245742,0.07418419,0.01650783,10.96042424,0.11774996,3.61053768,0.06250000,1,1
9,1.62453558,0.78574055,1.10562800,-0.71652387,0.10013354,1.59333910,0.25309697,0.05513339,14.62053997,0.14859513,4.09972182,0.06250000,1,1
10,1.59585456,0.64471820,1.15748199,-0.73976092,0.04373351,1.44980677,0.11114248,0.02486945,17.47745527,0.18439012,4.59728733,0.04538431,0,1
11,1.57048359,0.51584097,1.18999020,-0.75104535,0.01006424,1.31894331,0.02247477,0.00565328,19.16999427,0.24372488,5.39339173,0.03295578,0,1
12,1.54893955,0.39762666,1.22712972,-0.76528388,0.03113870,1.19950230,0.08213423,0.01715822,20.51219400,0.34963831,6.59572587,0.02393081,0,1
13,1.52770068,0.29034859,1.22794088,-0.76584725,0.03212208,1.09073962,0.08891409,0.01878496,22.49517137,0.51316071,8.11962507,0.01737733,0,1
14,1.50447463,0.19419983,1.20221815,-0.75342873,0.00408367,0.99207768,0.00611414,0.00071115,24.73801287,0.73856650,9.83397886,0.01261853,0,1
15,1.48209452,0.10724103,1.20149780,-0.75014414,0.00150472,0.90246302,0.00553221,0.00130285,26.28967848,1.02526362,11.69397106,0.00916294,0,1
16,1.46007215,0.02842872,1.19439210,-0.74866898,0.00576369,0.82072455,0.01660859,0.00402615,28.96282847,1.36942920,13.61297234,0.00665366,0,1
17,1.43955670,-0.04334254,1.19779133,-0.75073845,0.00232885,0.74615828,0.00548685,0.00124943,30.17622147,1.76617222,15.58933055,0.00483155,0,1
18,1.41931897,-0.10813476,1.18834590,-0.74661907,0.01213461,0.67830067,0.03598901,0.00823959,31.18038546,2.20976000,17.53881288,0.00350842,0,1
19,1.40027689,-0.16676357,1.18742842,-0.74423967,0.01382845,0.61666488,0.04423206,0.01006423,33.38967330,2.69405466,19.49769926,0.00254764,0,1
20,1.38285111,-0.21981416,1.19097842,-0.74202290,0.01204255,0.56083112,0.03933999,0.00872340,37.02572150,3.21275117,21.46089724,0.00184996,0,1
21,1.36665051,-0.26799872,1.19113235,-0.74187626,0.01202623,0.50999767,0.03990150,0.00879254,37.16330869,3.75960253,23.37469356,0.00134335,0,1
22,1.35226788,-0.31199917,1.19789444,-0.74419182,0.00617805,0.46371352,0.01960013,0.00426485,39.51337587,4.32920130,25.27647814,0.00097547,0,1
23,1.33894645,-0.35205706,1.19792406,-0.74505488,0.00536318,0.42150290,0.01675774,0.00346774,42.25895027,4.91656342,27.11741559,0.00070834,0,1
24,1.32677377,-0.38843881,1.19936496,-0.74495469,0.00508512,0.38314237,0.01181325,0.00210111,43.18693943,5.51729968,28.91975202,0.00051436,0,1
25,1.31550586,-0.42146339,1.19894101,-0.74469188,0.00541272,0.34824978,0.01400327,0.00279719,44.35889971,6.12725386,30.64337316,0.00037350,0,1
26,1.30525423,-0.45158882,1.20018714,-0.74602030,0.00398409,0.31642959,0.01043208,0.00201908,45.28141275,6.74279499,32.32854699,0.00027122,0,1
27,1.29533170,-0.47897561,1.19495940,-0.74628435,0.00626209,0.28730185,0.02232408,0.00513144,48.66100793,7.36085339,33.90894549,0.00019694,0,1
28,1.28633405,-0.50378235,1.19598914,-0.74561095,0.00594565,0.26091512,0.02148297,0.00474261,49.98257482,7.97892191,35.50204149,0.00014301,0,1
29,1.27806033,-0.52628337,1.19561841,-0.74535026,0.00638893,0.23694419,0.02545895,0.00566900,51.00923107,8.59437593,37.01736647,0.00010385,0,1
