step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
38,1.20580433,-0.74459305,1.20362090,-0.74367879,0.00728482,0.00793255,0.56001076,0.16123667,78.39785433,0.01758478,2.56641824,0.00000045,0,1
39,1.20547247,-0.74446966,1.20282258,-0.74326827,0.00729953,0.00778027,0.61390799,0.17664453,79.94364439,0.01819376,2.60792868,0.00000033,0,1
40,1.20518287,-0.74439559,1.20286052,-0.74366332,0.00695241,0.00763358,0.56887751,0.16376717,81.34955015,0.01878714,2.65452364,0.00000024,0,1
41,1.20494165,-0.74441628,1.20301471,-0.74457791,0.00620384,0.00745640,0.48063673,0.13855514,82.72978216,0.01936463,2.70264793,0.00000017,0,1
42,1.20468820,-0.74442116,1.20259524,-0.74443927,0.00613653,0.00728716,0.48662818,0.14026803,84.04850774,0.01992589,2.74291234,0.00000013,0,1
43,1.20442519,-0.74439813,1.20219887,-0.74415882,0.00624135,0.00713886,0.51324027,0.14787085,84.59899043,0.02047261,2.77983531,0.00000009,0,1
44,1.20409604,-0.74451365,1.20120969,-0.74558033,0.00458223,0.00684672,0.43797194,0.12636533,89.17554358,0.02100619,2.82018616,0.00000007,0,1
45,1.20367413,-0.74470783,1.19988264,-0.74651691,0.00348506,0.00644254,0.39462943,0.11398799,92.47157007,0.02153142,2.85791885,0.00000005,0,1
46,1.20337220,-0.74485828,1.20068365,-0.74625842,0.00380353,0.00614891,0.40854886,0.11796609,94.42141130,0.02205372,2.89395415,0.00000003,0,1
47,1.20295681,-0.74493057,1.19917701,-0.74559705,0.00447920,0.00586872,0.41753329,0.12052924,99.95171012,0.02256806,2.92710012,0.00000003,0,1
48,1.20261724,-0.74493189,1.19953203,-0.74493337,0.00508820,0.00570401,0.49133377,0.14161159,103.20009701,0.02307967,2.95610210,0.00000002,0,1
49,1.20217975,-0.74487857,1.19815594,-0.74436793,0.00592628,0.00556600,0.54254035,0.15624484,107.17214560,0.02358525,2.98397633,0.00000001,0,1
50,1.20178692,-0.74472510,1.19816954,-0.74327321,0.00697139,0.00556935,0.57157031,0.16454430,113.62235668,0.02408935,3.01347816,0.00000001,0,1
51,1.20141637,-0.74461816,1.19799656,-0.74360515,0.00670133,0.00556510,0.50582474,0.14573847,116.84702655,0.02458989,3.05004819,0.00000001,0,1
52,1.20106982,-0.74469823,1.19786580,-0.74544681,0.00502855,0.00540863,0.44669491,0.12883812,126.32378061,0.02508668,3.08586249,0.00000001,0,1
53,1.20077722,-0.74489752,1.19807240,-0.74676907,0.00376226,0.00516134,0.39439165,0.11389139,130.48776907,0.02558017,3.11957531,0.00000000,0,1
54,1.20045227,-0.74506146,1.19743541,-0.74660088,0.00425807,0.00495921,0.40751665,0.11763998,131.36110028,0.02606912,3.14907287,0.00000000,0,1
55,1.20023451,-0.74522290,1.19822051,-0.74673916,0.00371479,0.00478285,0.37123969,0.10727751,133.32326050,0.02655521,3.18155129,0.00000000,0,1
56,1.20008026,-0.74548468,1.19865890,-0.74794598,0.00245307,0.00451603,0.29658391,0.08595827,136.77938678,0.02703420,3.21522270,0.00000000,0,1
57,1.19985301,-0.74563458,1.19773966,-0.74704319,0.00372181,0.00436789,0.39914716,0.11525164,143.56730192,0.02750458,3.23728472,0.00000000,0,1
58,1.19959285,-0.74573632,1.19716568,-0.74669185,0.00435629,0.00428308,0.43416297,0.12526014,145.32914056,0.02796927,3.26327164,0.00000000,0,1
59,1.19929655,-0.74585497,1.19652573,-0.74697010,0.00460987,0.00420430,0.43224590,0.12471084,146.60717770,0.02842976,3.29024060,0.00000000,0,1
60,1.19909948,-0.74599288,1.19726022,-0.74728964,0.00385389,0.00410706,0.39727070,0.11471354,148.10584096,0.02888803,3.31978606,0.00000000,0,1
61,1.19890164,-0.74613548,1.19705264,-0.74747657,0.00388003,0.00401757,0.37484004,0.10830182,148.76451778,0.02934040,3.34704239,0.00000000,0,1
62,1.19877880,-0.74623029,1.19763393,-0.74712153,0.00372611,0.00396258,0.36396552,0.10519515,152.44469036,0.02978733,3.37477396,0.00000000,0,1
63,1.19865933,-0.74640917,1.19754451,-0.74809223,0.00310951,0.00383295,0.29524860,0.08556080,154.68215726,0.03022577,3.40324350,0.00000000,0,1
64,1.19851158,-0.74654476,1.19712898,-0.74782041,0.00360463,0.00376219,0.35349052,0.10220217,158.21730746,0.03065666,3.42477354,0.00000000,0,1
65,1.19840614,-0.74671915,1.19742058,-0.74836038,0.00305643,0.00364751,0.35703053,0.10321390,162.49428434,0.03108123,3.44880184,0.00000000,0,1
66,1.19833621,-0.74694050,1.19768396,-0.74902390,0.00251333,0.00348264,0.28376213,0.08227715,165.90648464,0.03149848,3.47624229,0.00000000,0,1
67,1.19830688,-0.74716242,1.19803604,-0.74925138,0.00210180,0.00330432,0.28955725,0.08393208,167.65300356,0.03190781,3.49934034,0.00000000,0,1
68,1.19826145,-0.74732677,1.19783821,-0.74887375,0.00243757,0.00318884,0.32243386,0.09332601,168.33357448,0.03230809,3.52013597,0.00000000,0,1
