step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
38,1.11087255,-0.67185557,1.20469931,-0.74556853,0.00645921,0.11853377,0.00535434,0.00047724,78.86370101,82.28068399,135.58693205,0.00000000,0,1
39,1.11982927,-0.67892874,1.20417173,-0.74553438,0.00611106,0.10713763,0.00551845,0.00035415,80.54583458,84.07829424,137.61847021,0.00000000,0,1
40,1.12789709,-0.68535767,1.20386906,-0.74589682,0.00563965,0.09683729,0.00495751,0.00067444,81.88818290,85.81560391,139.54090229,0.00000000,0,1
41,1.13516516,-0.69121028,1.20360622,-0.74632236,0.00515071,0.08752021,0.00467262,0.00089936,83.08283039,87.49446812,141.38317266,0.00000000,0,1
42,1.14170473,-0.69647724,1.20328566,-0.74607444,0.00511914,0.07913927,0.00491300,0.00073683,84.41182497,89.11678780,143.17475518,0.00000000,0,1
43,1.14759257,-0.70122233,1.20303634,-0.74590520,0.00509772,0.07159470,0.00506455,0.00062933,85.02072009,90.68436190,144.88905964,0.00000000,0,1
44,1.15277476,-0.70567021,1.20157379,-0.74755447,0.00290817,0.06477155,0.00435574,0.00129055,89.45584996,92.19902698,146.48045985,0.00000000,0,1
45,1.15730958,-0.70979375,1.20001245,-0.74862377,0.00137629,0.05864311,0.00437320,0.00162552,92.64189900,93.66265741,148.02594082,0.00000000,0,1
46,1.16150740,-0.71345521,1.20103689,-0.74793393,0.00231166,0.05307732,0.00436216,0.00121749,94.65759198,95.07700523,149.54733476,0.00000000,0,1
47,1.16514938,-0.71674054,1.19944463,-0.74767744,0.00238804,0.04817424,0.00434611,0.00140187,100.20097371,96.44401206,150.99389023,0.00000000,0,1
48,1.16850720,-0.71968301,1.20012665,-0.74739123,0.00261184,0.04371403,0.00446859,0.00128944,103.65904556,97.76517457,152.37749445,0.00000000,0,1
49,1.17141708,-0.72236898,1.19881845,-0.74766190,0.00261969,0.03975496,0.00486279,0.00158356,107.82703183,99.04237040,153.69000115,0.00000000,0,1
50,1.17403950,-0.72472509,1.19873395,-0.74691177,0.00333767,0.03623215,0.00529353,0.00175645,114.41871642,100.27715401,154.96106355,0.00000000,0,1
51,1.17636554,-0.72685483,1.19826915,-0.74690992,0.00354182,0.03308000,0.00550772,0.00197137,117.36402218,101.47111874,156.16923957,0.00000000,0,1
52,1.17845520,-0.72891235,1.19813285,-0.74828734,0.00253366,0.03014742,0.00534795,0.00200087,126.62878104,102.62585001,157.31348367,0.00000000,0,1
53,1.18035104,-0.73087185,1.19820350,-0.74932375,0.00191956,0.02742203,0.00560571,0.00219742,130.59756693,103.74310708,158.40545298,0.00000000,0,1
54,1.18200983,-0.73264051,1.19763007,-0.74929539,0.00247246,0.02499996,0.00573395,0.00220947,131.51925397,104.82455063,159.48381978,0.00000000,0,1
55,1.18357226,-0.73421210,1.19828521,-0.74901129,0.00197941,0.02278438,0.00547811,0.00216541,133.38538583,105.87153142,160.52027737,0.00000000,0,1
56,1.18500561,-0.73568959,1.19850299,-0.74960254,0.00154887,0.02072727,0.00508000,0.00213696,136.67107417,106.88551079,161.50593020,0.00000000,0,1
57,1.18625212,-0.73701717,1.19799003,-0.74951861,0.00206682,0.01890921,0.00576246,0.00220239,143.72902436,107.86792167,162.45765394,0.00000000,0,1
58,1.18734047,-0.73820091,1.19758912,-0.74934777,0.00249754,0.01730556,0.00566989,0.00208561,145.65241761,108.81994171,163.38699334,0.00000000,0,1
59,1.18826398,-0.73930837,1.19696036,-0.74973699,0.00305099,0.01587593,0.00597396,0.00219400,146.91845820,109.74271614,164.25988732,0.00000000,0,1
60,1.18915885,-0.74030273,1.19758555,-0.74966625,0.00243741,0.01454536,0.00574057,0.00216075,148.29564792,110.63738164,165.10994604,0.00000000,0,1
61,1.18993786,-0.74121376,1.19727349,-0.74979268,0.00273438,0.01335832,0.00600724,0.00229234,148.85580041,111.50515236,165.91873420,0.00000000,0,1
62,1.19069598,-0.74197114,1.19783499,-0.74910307,0.00234345,0.01228932,0.00538229,0.00206235,152.54963279,112.34707374,166.73064147,0.00000000,0,1
63,1.19134896,-0.74271607,1.19749784,-0.74973084,0.00251660,0.01130912,0.00544995,0.00222127,154.55774252,113.16417737,167.47285567,0.00000000,0,1
64,1.19192509,-0.74339622,1.19735031,-0.74980093,0.00265715,0.01043140,0.00562077,0.00216238,158.28246234,113.95747036,168.20568465,0.00000000,0,1
65,1.19248223,-0.74405685,1.19772866,-0.75027784,0.00228827,0.00958321,0.00556811,0.00212574,162.58498745,114.72787851,168.90435900,0.00000000,0,1
66,1.19298338,-0.74467428,1.19770247,-0.75048841,0.00234886,0.00880888,0.00536699,0.00218882,165.76886888,115.47639720,169.58040454,0.00000000,0,1
67,1.19347755,-0.74524608,1.19813105,-0.75063052,0.00197244,0.00807106,0.00516916,0.00208781,167.55598577,116.20388828,170.24074887,0.00000000,0,1
68,1.19391974,-0.74573891,1.19808372,-0.75037972,0.00195354,0.00742472,0.00513879,0.00199567,168.34959049,116.91122375,170.88459698,0.00000000,0,1
69,1.19429425,-0.74614880,1.19782086,-0.75000859,0.00217915,0.00688384,0.00519360,0.00196768,169.68797863,117.59913274,171.50491232,0.00000000,0,1
70,1.19465722,-0.74652768,1.19807513,-0.75009546,0.00192723,0.00637200,0.00509582,0.00197865,170.27403087,118.26827848,172.09505087,0.00000000,0,1
71,1.19497553,-0.74685387,1.19797299,-0.74992550,0.00202838,0.00592819,0.00501277,0.00192732,170.79831196,118.91940876,172.67432810,0.00000000,0,1
72,1.19523741,-0.74715363,1.19770347,-0.74997636,0.00229665,0.00554834,0.00522288,0.00198171,171.47931383,119.55316750,173.22226704,0.00000000,0,1
73,1.19550622,-0.74739649,1.19803744,-0.74968339,0.00198794,0.00519349,0.00494960,0.00182901,172.46847914,120.17017459,173.77300180,0.00000000,0,1
74,1.19579203,-0.74759571,1.19848347,-0.74947177,0.00160589,0.00484640,0.00507240,0.00187894,175.78594854,120.77106267,174.28715270,0.00000000,0,1
75,1.19598227,-0.74778932,1.19777372,-0.74961240,0.00225977,0.00458577,0.00531296,0.00198667,177.55653636,121.35645518,174.77988982,0.00000000,0,1
76,1.19614690,-0.74793928,1.19769711,-0.74935148,0.00239246,0.00436955,0.00509526,0.00190715,179.72157818,121.92684717,175.27717274,0.00000000,0,1
77,1.19633365,-0.74808400,1.19809225,-0.74944675,0.00198635,0.00413681,0.00522551,0.00199242,182.54885372,122.48275307,175.73751719,0.00000000,0,1
78,1.19649167,-0.74820039,1.19797967,-0.74929640,0.00213934,0.00394297,0.00547402,0.00205689,183.83977415,123.02475049,176.18824087,0.00000000,0,1
79,1.19665093,-0.74833861,1.19815062,-0.74964015,0.00188407,0.00373852,0.00556962,0.00210397,185.89927468,123.55330968,176.62076875,0.00000000,0,1
80,1.19679251,-0.74848715,1.19812577,-0.74988596,0.00187770,0.00354636,0.00563601,0.00213145,186.67949611,124.06895561,177.04370035,0.00000000,0,1
81,1.19691670,-0.74865740,1.19808616,-0.75026056,0.00193150,0.00336293,0.00554062,0.00216538,188.11895894,124.57215642,177.45437044,0.00000000,0,1
82,1.19702673,-0.74876775,1.19806280,-0.74980689,0.00194680,0.00321851,0.00552042,0.00210898,189.89520362,125.06336766,177.86764519,0.00000000,0,1
83,1.19715103,-0.74886908,1.19832156,-0.74982322,0.00168772,0.00306523,0.00531066,0.00206373,190.59213959,125.54295577,178.26466461,0.00000000,0,1
84,1.19726104,-0.74894085,1.19829697,-0.74961672,0.00174563,0.00293661,0.00551573,0.00198136,197.30768965,126.01134329,178.65002472,0.00000000,0,1
85,1.19737790,-0.74900827,1.19847834,-0.74964312,0.00156295,0.00280338,0.00558023,0.00207122,199.69024341,126.46888564,179.01252137,0.00000000,0,1
86,1.19751264,-0.74900813,1.19878145,-0.74900685,0.00157201,0.00267783,0.00538933,0.00193681,202.93102141,126.91596463,179.39043497,0.00000000,0,1
87,1.19765332,-0.74897494,1.19897808,-0.74866233,0.00168336,0.00256079,0.00559305,0.00194713,206.33899279,127.35290353,179.73947275,0.00000000,0,1
88,1.19779715,-0.74894551,1.19915155,-0.74866842,0.00157892,0.00244223,0.00537683,0.00186031,207.24518780,127.78002706,180.08825984,0.00000000,0,1
89,1.19793299,-0.74895927,1.19921209,-0.74908886,0.00120456,0.00231423,0.00547660,0.00193293,209.56851956,128.19767232,180.40769517,0.00000000,0,1
90,1.19811563,-0.74895057,1.19983549,-0.74886866,0.00114323,0.00215688,0.00510192,0.00178328,212.07592033,128.60618188,180.74719964,0.00000000,0,1
91,1.19827659,-0.74890396,1.19979228,-0.74846503,0.00154896,0.00204241,0.00514482,0.00173051,213.80358708,129.00588500,181.06835653,0.00000000,0,1
92,1.19840769,-0.74884330,1.19964226,-0.74827208,0.00176457,0.00196810,0.00537032,0.00171268,217.54934689,129.39701830,181.37314591,0.00000000,0,1
93,1.19853238,-0.74878799,1.19970656,-0.74826711,0.00175756,0.00190339,0.00539921,0.00173691,217.77967737,129.77981883,181.66835064,0.00000000,0,1
