step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
38,1.16438935,-0.74830290,1.19279976,-0.75515646,0.00885621,0.03565107,0.00678278,0.00165054,72.03548868,9.52216212,101.49178363,0.00000118,0,1
39,1.16714557,-0.74891537,1.19294476,-0.75543739,0.00890739,0.03287233,0.00732028,0.00212331,72.87682913,9.70423145,102.27614788,0.00000085,0,1
40,1.16958053,-0.74958645,1.19240074,-0.75655315,0.01003457,0.03042228,0.00844429,0.00265742,74.61817877,9.87949711,102.99476688,0.00000062,0,1
41,1.17198508,-0.75021066,1.19455499,-0.75664330,0.00858962,0.02801571,0.00887213,0.00335797,81.26940740,10.04821537,103.78461357,0.00000045,0,1
42,1.17412341,-0.75075655,1.19421425,-0.75637152,0.00860646,0.02588765,0.00844316,0.00331916,84.14521358,10.21083943,104.48929257,0.00000033,0,1
43,1.17608594,-0.75113535,1.19454258,-0.75510794,0.00747493,0.02394099,0.00729725,0.00291792,87.99518750,10.36759418,105.14865783,0.00000024,0,1
44,1.17799194,-0.75142963,1.19593222,-0.75454687,0.00610089,0.02205444,0.00646266,0.00281659,92.21586311,10.51874522,105.83501733,0.00000017,0,1
45,1.17969472,-0.75172700,1.19573313,-0.75482212,0.00643887,0.02037859,0.00659664,0.00296362,93.96281095,10.66462670,106.45498980,0.00000013,0,1
46,1.18126010,-0.75196073,1.19601306,-0.75441281,0.00594715,0.01884220,0.00577039,0.00267213,95.60978903,10.80543915,107.03877666,0.00000009,0,1
47,1.18272317,-0.75209133,1.19651872,-0.75353457,0.00496110,0.01740294,0.00452578,0.00217778,97.83577446,10.94140854,107.58704790,0.00000007,0,1
48,1.18399322,-0.75213683,1.19597489,-0.75274648,0.00487285,0.01614878,0.00428952,0.00200572,101.43308010,11.07276388,108.05270122,0.00000005,0,1
49,1.18510911,-0.75213600,1.19564148,-0.75228174,0.00491966,0.01504330,0.00341276,0.00143646,103.93834674,11.19965171,108.47024109,0.00000003,0,1
50,1.18614965,-0.75210914,1.19597350,-0.75198633,0.00448979,0.01401002,0.00309773,0.00133675,104.27584672,11.32223430,108.94858791,0.00000003,0,1
51,1.18717605,-0.75207401,1.19686694,-0.75185312,0.00364007,0.01299058,0.00256951,0.00130154,107.33780230,11.44071480,109.46637068,0.00000002,0,1
52,1.18807759,-0.75207274,1.19659229,-0.75215366,0.00403122,0.01210125,0.00265880,0.00134141,107.93026620,11.55532213,109.90251814,0.00000001,0,1
53,1.18886035,-0.75205192,1.19625568,-0.75193418,0.00421438,0.01132706,0.00260332,0.00125202,108.58112142,11.66619698,110.29092336,0.00000001,0,1
54,1.18955363,-0.75200516,1.19610520,-0.75163082,0.00422245,0.01063707,0.00220243,0.00111139,109.57136737,11.77347050,110.70509379,0.00000001,0,1
55,1.19016905,-0.75197370,1.19598594,-0.75173287,0.00437213,0.01002712,0.00232095,0.00114113,109.64971989,11.87728215,111.08392194,0.00000001,0,1
56,1.19074378,-0.75198257,1.19617601,-0.75211267,0.00436879,0.00946616,0.00234759,0.00121315,111.07082397,11.97777020,111.48387681,0.00000000,0,1
57,1.19131837,-0.75199997,1.19674776,-0.75220284,0.00392804,0.00890901,0.00242379,0.00128586,111.85011904,12.07508695,111.86897380,0.00000000,0,1
58,1.19184633,-0.75192484,1.19683498,-0.75125010,0.00340296,0.00837779,0.00088185,0.00057250,115.54125797,12.16939737,112.17801458,0.00000000,0,1
59,1.19231444,-0.75181924,1.19673799,-0.75085216,0.00337148,0.00789794,0.00070065,0.00034445,116.32890987,12.26082318,112.48536053,0.00000000,0,1
60,1.19269326,-0.75172943,1.19627453,-0.75090639,0.00383414,0.00750862,0.00109109,0.00003789,119.49347181,12.34947267,112.77306735,0.00000000,0,1
61,1.19301371,-0.75169658,1.19604393,-0.75140622,0.00419857,0.00718935,0.00127495,0.00028031,121.22047424,12.43543164,113.07227950,0.00000000,0,1
62,1.19334349,-0.75166281,1.19646029,-0.75136060,0.00379220,0.00686106,0.00098699,0.00008389,123.01809825,12.51879947,113.39095679,0.00000000,0,1
