step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
38,1.30427164,-0.59119932,1.20528189,-0.74959743,0.00529720,0.18997429,0.04988521,0.01315762,79.60846803,0.17468860,6.82874953,0.03295578,0,1
39,1.29719034,-0.59428995,1.20454376,-0.74966475,0.00455611,0.18355267,0.05085859,0.01354855,81.45042914,0.18245354,6.92916829,0.02393081,0,1
40,1.29009470,-0.59887065,1.20503932,-0.75033359,0.00505035,0.17594640,0.07237977,0.01949783,82.58859961,0.18970121,7.02927172,0.01737733,0,1
41,1.28312961,-0.60453346,1.20533268,-0.75066891,0.00537447,0.16754416,0.07851467,0.02108612,83.58078379,0.19636766,7.11892372,0.01261853,0,1
42,1.27630921,-0.61087122,1.20453325,-0.74996302,0.00453340,0.15868179,0.06131162,0.01633351,85.02632631,0.20247903,7.19741279,0.00916294,0,1
43,1.26973904,-0.61765955,1.20387555,-0.74944049,0.00391573,0.14959120,0.04929888,0.01305710,85.76435299,0.20813794,7.27631589,0.00665366,0,1
44,1.26357565,-0.62500985,1.20421671,-0.75213449,0.00472617,0.14022982,0.10214507,0.02766548,89.77263770,0.21347155,7.37331811,0.00483155,0,1
45,1.25775134,-0.63262197,1.20355745,-0.75365841,0.00510288,0.13081598,0.12671307,0.03444881,92.73605436,0.21858059,7.46550506,0.00350842,0,1
46,1.25234637,-0.64006495,1.20351834,-0.75216390,0.00413051,0.12176148,0.09254191,0.02499517,94.99082492,0.22359840,7.55184542,0.00254764,0,1
47,1.24722290,-0.64736329,1.20202709,-0.75180203,0.00271227,0.11297918,0.09550807,0.02586013,100.53795138,0.22866163,7.65145082,0.00184996,0,1
48,1.24249011,-0.65434964,1.20161590,-0.75045675,0.00167922,0.10466328,0.06204554,0.01669363,104.28700749,0.23389714,7.75287138,0.00134335,0,1
49,1.23801904,-0.66107012,1.19999123,-0.75006081,0.00006144,0.09671593,0.05083213,0.01367653,108.53946428,0.23939772,7.86647667,0.00097547,0,1
50,1.23392041,-0.66739731,1.19958338,-0.74874456,0.00132276,0.08929613,0.03929569,0.01053091,115.18105168,0.24524759,7.99166034,0.00070834,0,1
51,1.23025112,-0.67350266,1.19999263,-0.74939999,0.00060005,0.08226162,0.06661496,0.01805640,117.97913113,0.25149177,8.13497358,0.00051436,0,1
52,1.22699148,-0.67948456,1.20051787,-0.75135628,0.00145179,0.07550475,0.08705427,0.02368297,127.08821298,0.25814473,8.28663551,0.00037350,0,1
53,1.22413224,-0.68526437,1.20127919,-0.75279691,0.00307556,0.06908739,0.10730981,0.02926786,130.88293635,0.26521100,8.44395190,0.00027122,0,1
