step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
39,1.16208053,-0.61106331,1.20295967,-0.74813643,0.00349751,0.14401837,0.00376665,0.00085743,92.37872201,92.19654356,132.40047265,0.00323868,0,1
40,1.16675170,-0.61993436,1.20317366,-0.74840267,0.00355297,0.13424798,0.00381985,0.00090633,92.84129168,94.05513417,134.29868047,0.00298968,0,1
41,1.17088619,-0.62802660,1.20410957,-0.74763300,0.00474249,0.12539986,0.00371788,0.00043685,95.02680489,95.84803124,136.15164951,0.00275982,0,1
42,1.17444052,-0.63548994,1.20392919,-0.74764260,0.00458212,0.11732792,0.00366699,0.00050224,95.15232505,97.57771684,137.91093060,0.00254764,0,1
43,1.17748810,-0.64245820,1.20381141,-0.74841869,0.00412643,0.10987276,0.00351635,0.00057205,96.51881535,99.24657988,139.58771552,0.00235177,0,1
44,1.18007363,-0.64881542,1.20353560,-0.74749709,0.00433186,0.10312797,0.00373515,0.00041039,98.67356727,100.85712145,141.24056207,0.00217095,0,1
45,1.18230958,-0.65476616,1.20385730,-0.74810443,0.00429790,0.09686297,0.00344018,0.00056981,102.29312218,102.41147634,142.78477296,0.00200404,0,1
46,1.18431485,-0.66022744,1.20496072,-0.74745377,0.00557603,0.09113253,0.00401429,0.00020379,104.16772125,103.91210649,144.31057397,0.00184996,0,1
47,1.18599317,-0.66527587,1.20472795,-0.74712766,0.00553207,0.08587415,0.00418092,0.00012622,104.97283284,105.36131435,145.77220642,0.00170773,0,1
48,1.18749896,-0.66992913,1.20567900,-0.74659154,0.00662334,0.08104085,0.00481914,0.00012410,106.04773575,106.76115670,147.18433758,0.00157644,0,1
49,1.18870555,-0.67434595,1.20504443,-0.74733531,0.00570498,0.07649248,0.00416465,0.00014853,107.20067079,108.11379169,148.50929054,0.00145523,0,1
50,1.18968565,-0.67850113,1.20477931,-0.74760391,0.00534631,0.07223901,0.00385654,0.00029579,107.55261884,109.42123939,149.79595050,0.00134335,0,1
51,1.19051829,-0.68240360,1.20502640,-0.74772992,0.00551525,0.06825815,0.00397371,0.00026142,108.04681333,110.68543054,151.04327788,0.00124007,0,1
52,1.19109037,-0.68613090,1.20386746,-0.74843875,0.00417070,0.06448754,0.00320969,0.00068506,111.27384782,111.90827762,152.22054781,0.00114473,0,1
53,1.19150375,-0.68961153,1.20343302,-0.74825722,0.00385005,0.06098322,0.00333267,0.00060024,112.70724060,113.09148699,153.39271374,0.00105672,0,1
54,1.19185169,-0.69290775,1.20373914,-0.74850853,0.00402562,0.05767079,0.00336095,0.00059178,115.22335672,114.23668106,154.50678290,0.00097547,0,1
55,1.19218263,-0.69597233,1.20441644,-0.74811566,0.00480163,0.05459030,0.00348874,0.00051535,117.10878964,115.34558896,155.59750895,0.00090047,0,1
56,1.19238163,-0.69886875,1.20381498,-0.74818584,0.00422436,0.05169569,0.00324970,0.00065944,118.18060497,116.41981484,156.63754865,0.00083124,0,1
57,1.19252468,-0.70158728,1.20381267,-0.74802062,0.00429586,0.04898644,0.00333258,0.00065813,121.03069927,117.46077326,157.65186756,0.00076733,0,1
58,1.19259130,-0.70414901,1.20348406,-0.74793214,0.00405151,0.04644569,0.00339692,0.00072709,122.14322180,118.46987144,158.62747962,0.00070834,0,1
59,1.19265067,-0.70658208,1.20374611,-0.74801556,0.00423926,0.04403553,0.00335429,0.00065797,122.79860541,119.44841972,159.57162737,0.00065388,0,1
60,1.19266559,-0.70893561,1.20356326,-0.74851794,0.00385919,0.04171424,0.00321485,0.00087125,124.41716684,120.39777158,160.46267925,0.00060361,0,1
61,1.19262866,-0.71116719,1.20321198,-0.74853529,0.00353019,0.03952624,0.00330021,0.00078915,126.52945400,121.31920710,161.35241606,0.00055720,0,1
62,1.19254561,-0.71327731,1.20282475,-0.74847218,0.00321146,0.03747164,0.00338094,0.00070800,128.40901041,122.21385635,162.21519152,0.00051436,0,1
63,1.19248120,-0.71525664,1.20302527,-0.74822697,0.00350655,0.03554763,0.00340372,0.00068761,128.83738269,123.08278425,163.04676134,0.00047481,0,1
64,1.19238647,-0.71712144,1.20269643,-0.74805685,0.00332364,0.03374857,0.00342011,0.00064762,130.07240117,123.92705806,163.85464763,0.00043831,0,1
65,1.19228963,-0.71887537,1.20259601,-0.74784664,0.00337286,0.03206544,0.00346892,0.00056635,130.98270567,124.74763759,164.64022961,0.00040461,0,1
66,1.19219901,-0.72056580,1.20254776,-0.74805501,0.00320532,0.03045041,0.00347672,0.00058607,131.79233209,125.54546284,165.38873706,0.00037350,0,1
67,1.19212288,-0.72212557,1.20256211,-0.74753614,0.00355458,0.02896606,0.00348323,0.00054677,135.44747116,126.32148633,166.12868205,0.00034479,0,1
68,1.19210287,-0.72362794,1.20299699,-0.74768501,0.00378697,0.02752908,0.00344870,0.00053461,136.75055090,127.07653047,166.83285335,0.00031828,0,1
69,1.19204049,-0.72505569,1.20243678,-0.74763216,0.00339773,0.02618344,0.00343480,0.00059303,138.02847651,127.81150788,167.51880134,0.00029381,0,1
70,1.19195791,-0.72646729,1.20204225,-0.74814809,0.00275687,0.02486893,0.00333692,0.00069043,139.47230867,128.52714320,168.17156459,0.00027122,0,1
71,1.19189629,-0.72787853,1.20203550,-0.74884614,0.00233980,0.02355907,0.00324088,0.00069637,143.25557727,129.22421520,168.80753234,0.00025037,0,1
72,1.19189265,-0.72917512,1.20241629,-0.74838669,0.00290538,0.02234736,0.00326480,0.00071120,146.53036971,129.90352454,169.44086341,0.00023112,0,1
73,1.19186357,-0.73038926,1.20196924,-0.74818028,0.00268129,0.02123165,0.00335187,0.00082409,148.66771946,130.56573539,170.04801264,0.00021335,0,1
74,1.19184370,-0.73155373,1.20184260,-0.74826488,0.00253097,0.02016904,0.00329763,0.00088835,149.35587382,131.21142082,170.63550272,0.00019694,0,1
75,1.19182499,-0.73269490,1.20162764,-0.74860560,0.00214326,0.01913889,0.00324703,0.00086209,151.40753866,131.84119786,171.21069553,0.00018180,0,1
76,1.19180814,-0.73378944,1.20140946,-0.74871017,0.00191056,0.01816284,0.00328252,0.00093649,151.66720041,132.45567203,171.76540471,0.00016783,0,1
77,1.19183740,-0.73483879,1.20164374,-0.74881272,0.00202769,0.01721889,0.00332779,0.00089568,153.39383660,133.05539184,172.31328173,0.00015492,0,1
78,1.19188381,-0.73579522,1.20161348,-0.74840148,0.00227125,0.01635997,0.00347570,0.00094904,156.11289771,133.64092519,172.84661582,0.00014301,0,1
79,1.19195281,-0.73674898,1.20164957,-0.74886544,0.00200207,0.01550312,0.00324685,0.00097572,159.20866157,134.21272886,173.35485592,0.00013202,0,1
80,1.19199910,-0.73764382,1.20123004,-0.74876768,0.00174116,0.01472038,0.00340149,0.00097462,161.13074729,134.77133961,173.86204741,0.00012187,0,1
81,1.19202063,-0.73848303,1.20076142,-0.74867149,0.00153124,0.01401110,0.00371351,0.00109682,163.28830370,135.31716192,174.34532331,0.00011250,0,1
82,1.19212571,-0.73925604,1.20139213,-0.74843468,0.00209481,0.01332056,0.00360801,0.00096603,165.22240448,135.85058171,174.83671096,0.00010385,0,1
83,1.19222747,-0.74000097,1.20119867,-0.74855344,0.00187866,0.01266463,0.00377069,0.00116247,169.42387929,136.37206108,175.28412333,0.00009586,0,1
