step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,2.10000000,-2.30884573,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,1.91840000,-2.08719654,0.00000000,0.00000000,1.41509717,1.51795690,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,1.86156908,-1.96433317,1.11821290,-0.81486821,0.10438877,1.38285166,0.26982882,0.06173418,3.06236487,0.04105346,2.33918297,0.06250000,1,1
3,1.82917451,-1.84246964,1.31633208,-0.70990839,0.12304670,1.26069444,0.27536940,0.06556301,6.42346254,0.09199010,3.61815005,0.06250000,1,1
4,1.79287173,-1.73362492,1.27452499,-0.72780647,0.07775941,1.14848373,0.17093146,0.04231657,10.17779417,0.16264399,4.80787663,0.04538431,0,1
5,1.75189165,-1.63701253,1.21628063,-0.74895516,0.01631413,1.04468925,0.00451543,0.00234605,12.76185640,0.25753273,6.01969300,0.03295578,0,1
6,1.71562592,-1.54748097,1.24729316,-0.72747136,0.05238495,0.94965572,0.12548717,0.03090981,15.96664021,0.37816001,7.38209355,0.02393081,0,1
7,1.67961977,-1.46725898,1.23326190,-0.73537935,0.03633342,0.86284157,0.08920619,0.02218846,16.77860395,0.52481634,8.74647888,0.01737733,0,1
8,1.64753916,-1.39353954,1.25479324,-0.72268900,0.06122246,0.78385869,0.15377634,0.03741839,18.31022128,0.69611588,10.18470912,0.01261853,0,1
9,1.61432744,-1.32837217,1.22509979,-0.73737012,0.02809828,0.71146441,0.07004994,0.01732715,22.25919550,0.89042759,11.55623250,0.00916294,0,1
10,1.58258262,-1.26972814,1.21921396,-0.73913742,0.02207197,0.64535789,0.06306151,0.01551268,23.73592320,1.10528225,12.96573611,0.00665366,0,1
11,1.55064788,-1.21772851,1.19571781,-0.74847058,0.00454712,0.58457155,0.00165012,0.00050221,28.81350990,1.33824989,14.30864490,0.00483155,0,1
12,1.51943461,-1.17187518,1.17996963,-0.75912931,0.02201273,0.52916645,0.06002472,0.01484126,31.37303091,1.58687920,15.64419373,0.00350842,0,1
13,1.49079299,-1.13033054,1.18288680,-0.75672924,0.01838870,0.47876077,0.04623444,0.01135267,32.14895527,1.84837379,17.02203202,0.00254764,0,1
14,1.46478635,-1.09272513,1.18790191,-0.75477633,0.01300681,0.43309621,0.03977259,0.00949272,35.06071297,2.12041570,18.37608310,0.00184996,0,1
15,1.44105084,-1.05905042,1.19079609,-0.75669706,0.01138255,0.39194089,0.03690974,0.00850617,37.22186898,2.40063904,19.70096272,0.00134335,0,1
16,1.41824076,-1.02926692,1.18112221,-0.76218715,0.02246993,0.35442777,0.06926549,0.01654007,39.74483863,2.68658131,20.93140147,0.00097547,0,1
17,1.39752257,-1.00221017,1.18382599,-0.75950605,0.01876069,0.32035158,0.05361463,0.01249690,42.72901077,2.97628554,22.19650606,0.00070834,0,1
18,1.37920098,-0.97740986,1.19120339,-0.75473149,0.00998836,0.28953106,0.02796915,0.00618023,45.40950066,3.26812228,23.44078082,0.00051436,0,1
19,1.36228638,-0.95524867,1.19016666,-0.75628510,0.01167035,0.26165604,0.03867673,0.00875970,46.58642063,3.56057097,24.59327376,0.00037350,0,1
20,1.34668254,-0.93547413,1.18910972,-0.75793600,0.01347510,0.23646653,0.04361165,0.00982666,47.39031737,3.85214400,25.71691712,0.00027122,0,1
21,1.33254646,-0.91760159,1.19063954,-0.75701320,0.01169629,0.21367934,0.03776289,0.00839542,47.63220519,4.14154499,26.81413144,0.00019694,0,1
22,1.31976512,-0.90135635,1.19215665,-0.75521687,0.00941986,0.19300888,0.02644640,0.00574752,49.40262978,4.42775382,27.87792877,0.00014301,0,1
23,1.30822241,-0.88665761,1.19356344,-0.75428883,0.00773456,0.17431980,0.02455908,0.00515884,51.03613903,4.70997860,28.89558624,0.00010385,0,1
24,1.29768743,-0.87334388,1.19358868,-0.75330316,0.00721220,0.15734213,0.02248883,0.00473051,51.47472760,4.98748816,29.86658453,0.00007541,0,1
25,1.28826354,-0.86139669,1.19551731,-0.75358330,0.00573886,0.14212556,0.01650507,0.00290232,54.51590017,5.25975627,30.82789660,0.00005476,0,1
