step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,3.00000000,-0.75000000,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,2.73200000,-0.67800000,0.00000000,0.00000000,1.41509717,1.53369097,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,2.60712828,-0.66901042,1.22305459,-0.59185696,0.15981469,1.40945710,0.50870554,0.09944812,0.61210596,0.03850400,1.76228154,0.06250000,1,1
3,2.49293300,-0.67299658,1.20980055,-0.79569773,0.04673685,1.29522402,0.11855319,0.02205503,2.36768032,0.08452975,2.66936449,0.06250000,1,1
4,2.38981394,-0.67626570,1.21165662,-0.73842188,0.01642954,1.19209646,0.05765719,0.01253641,2.75782814,0.14671756,3.60712540,0.06250000,1,1
5,2.29371946,-0.68542264,1.21313728,-0.79712662,0.04892347,1.09562425,0.13840101,0.02631125,4.06521181,0.22793014,4.60251986,0.04538431,0,1
6,2.20447193,-0.68749916,1.21522075,-0.73413677,0.02198438,1.00641453,0.05453691,0.01232881,6.81536709,0.33040849,5.68701177,0.03295578,0,1
7,2.12151355,-0.68946554,1.21440454,-0.73561155,0.02035972,0.92349967,0.05486820,0.01233064,7.74477416,0.45513424,6.82376489,0.02393081,0,1
8,2.04446959,-0.69121698,1.21258937,-0.73510052,0.01950607,0.84651305,0.05497384,0.01239377,8.94683913,0.60216849,8.02945167,0.01737733,0,1
9,1.97305799,-0.69099215,1.21084393,-0.71546356,0.03619884,0.77530676,0.13143534,0.02811343,11.94185569,0.77093806,9.28707738,0.01261853,0,1
10,1.90694903,-0.69087087,1.20880413,-0.71512429,0.03596982,0.70941750,0.14229553,0.03037696,14.57761911,0.96032813,10.57826631,0.00916294,0,1
11,1.84589262,-0.69182490,1.20732715,-0.72475448,0.02628732,0.64850722,0.09948309,0.02146468,17.74268158,1.16888043,11.89252465,0.00665366,0,1
12,1.79012689,-0.69347555,1.21155786,-0.73136242,0.02193042,0.59282776,0.06872886,0.01500495,21.32373160,1.39483440,13.22605967,0.00483155,0,1
13,1.73868239,-0.69562189,1.20942145,-0.73649971,0.01646273,0.54142007,0.05300368,0.01164856,23.19755817,1.63576036,14.54519400,0.00350842,0,1
14,1.69139021,-0.69876793,1.20851656,-0.74736724,0.00891421,0.49405371,0.01877506,0.00433974,26.44854509,1.88979868,15.86390328,0.00254764,0,1
15,1.64832402,-0.70190141,1.21139815,-0.74871798,0.01147002,0.45089678,0.01109850,0.00266908,27.72728662,2.15496703,17.20635108,0.00184996,0,1
16,1.60897412,-0.70378411,1.21223211,-0.73721616,0.01769325,0.41157714,0.05134434,0.01139410,31.08321832,2.42895056,18.54294145,0.00134335,0,1
17,1.57307021,-0.70514101,1.21314748,-0.73209474,0.02221384,0.37575752,0.06710486,0.01481726,32.92255244,2.70973030,19.85796358,0.00097547,0,1
18,1.54027364,-0.70654282,1.21328582,-0.73248511,0.02198373,0.34303742,0.06636700,0.01465783,33.05582371,2.99541550,21.13932069,0.00070834,0,1
19,1.51032707,-0.70795950,1.21326176,-0.73270753,0.02179228,0.31316177,0.06595704,0.01456858,33.27763265,3.28435119,22.39474359,0.00051436,0,1
20,1.48260939,-0.70978391,1.20911886,-0.73714058,0.01576447,0.28545648,0.04669146,0.01032293,39.11171075,3.57504163,23.58259225,0.00037350,0,1
21,1.45728588,-0.71128451,1.20850514,-0.73446454,0.01771124,0.26018246,0.05795737,0.01281290,39.78669874,3.86656451,24.77707966,0.00027122,0,1
22,1.43426164,-0.71268898,1.20894108,-0.73393714,0.01838365,0.23721430,0.05995163,0.01325768,40.07532691,4.15770551,25.94484073,0.00019694,0,1
23,1.41315704,-0.71427013,1.20742207,-0.73625241,0.01562317,0.21613086,0.04766252,0.01051747,42.76059749,4.44729031,27.06379154,0.00014301,0,1
24,1.39381267,-0.71590678,1.20590955,-0.73757369,0.01375994,0.19678847,0.04120993,0.00907368,44.13119774,4.73450038,28.13815168,0.00010385,0,1
25,1.37612348,-0.71747053,1.20485081,-0.73769883,0.01322305,0.17910233,0.04030089,0.00886884,44.61171573,5.01862421,29.18729048,0.00007541,0,1
26,1.36006582,-0.71905697,1.20502303,-0.73882643,0.01225070,0.16302925,0.03652413,0.00801832,44.87213133,5.29900513,30.20996239,0.00005476,0,1
27,1.34543539,-0.72052675,1.20454931,-0.73859828,0.01227580,0.14839179,0.04319908,0.00952649,48.32864860,5.57497208,31.20548603,0.00003976,0,1
28,1.33214822,-0.72189032,1.20450346,-0.73842933,0.01241618,0.13510479,0.04502144,0.00993958,48.96401119,5.84602592,32.16945075,0.00002887,0,1
29,1.32012466,-0.72308932,1.20486695,-0.73760714,0.01331429,0.12310207,0.04812647,0.01064297,50.61806125,6.11171924,33.10892481,0.00002097,0,1
30,1.30919980,-0.72435434,1.20468926,-0.73907735,0.01188670,0.11217084,0.04124191,0.00907257,51.28882828,6.37165281,33.98981703,0.00001522,0,1
31,1.29922158,-0.72549055,1.20395405,-0.73863358,0.01203453,0.10220389,0.04287969,0.00945148,52.31482081,6.62557539,34.83101859,0.00001106,0,1
32,1.29010557,-0.72662241,1.20322594,-0.73940187,0.01107822,0.09308881,0.03719347,0.00814840,54.18401258,6.87334785,35.65005679,0.00000803,0,1
